time,open,high,low,close,volume
2018-01-02 07:00:00,6.87,6.98,6.87,6.93,37950
2018-01-03 07:00:00,6.98,7.28,6.98,7.18,49680
2018-01-04 07:00:00,7.24,7.24,7.08,7.08,55910
2018-01-05 07:00:00,7.08,7.08,6.94,7.04,26250
2018-01-08 07:00:00,7.04,7.14,7.0,7.12,30260
2018-01-09 07:00:00,7.18,7.58,7.04,7.58,241000
2018-01-10 07:00:00,7.58,7.58,7.32,7.44,88520
2018-01-11 07:00:00,7.3,7.44,7.28,7.4,80280
2018-01-12 07:00:00,7.18,7.4,7.18,7.18,70510
2018-01-15 07:00:00,7.42,7.46,7.22,7.28,88420
2018-01-16 07:00:00,7.36,7.42,7.26,7.36,65850
2018-01-17 07:00:00,7.28,7.38,7.28,7.28,44800
2018-01-18 07:00:00,7.3,7.3,7.17,7.28,64950
2018-01-19 07:00:00,7.28,7.36,7.28,7.34,84120
2018-01-22 07:00:00,7.38,7.56,7.38,7.56,131950
2018-01-25 07:00:00,7.68,7.68,7.5,7.59,87390
2018-01-26 07:00:00,7.62,8.12,7.59,8.12,372850
2018-01-29 07:00:00,8.12,8.59,8.1,8.57,245180
2018-01-30 07:00:00,8.53,8.69,8.39,8.69,310230
2018-01-31 07:00:00,8.69,8.73,8.39,8.49,266910
2018-02-01 07:00:00,8.31,8.59,8.29,8.41,197980
2018-02-02 07:00:00,8.43,8.53,8.37,8.49,58670
2018-02-05 07:00:00,8.59,8.96,8.34,8.61,303300
2018-02-06 07:00:00,8.21,8.43,8.21,8.31,475770
2018-02-07 07:00:00,8.45,8.57,8.45,8.53,185450
2018-02-08 07:00:00,8.41,8.59,8.39,8.59,62020
2018-02-09 07:00:00,8.49,8.67,8.45,8.55,90990
2018-02-12 07:00:00,8.57,8.65,8.54,8.55,268830
2018-02-13 07:00:00,8.55,8.9,8.55,8.69,416580
2018-02-21 07:00:00,8.77,9.26,8.75,8.79,211500
2018-02-22 07:00:00,8.79,8.81,8.73,8.79,302740
2018-02-23 07:00:00,8.79,9.4,8.79,9.4,515730
2018-02-26 07:00:00,9.7,9.7,9.32,9.46,179180
2018-02-27 07:00:00,9.6,10.12,9.4,10.12,164490
2018-02-28 07:00:00,10.01,10.3,9.85,9.85,222790
2018-03-01 07:00:00,9.85,10.05,9.73,9.79,161820
2018-03-02 07:00:00,9.81,10.22,9.73,10.01,50000
2018-03-05 07:00:00,10.16,10.34,10.05,10.05,151700
2018-03-06 07:00:00,10.05,10.16,10.01,10.16,121050
2018-03-07 07:00:00,10.03,10.32,10.03,10.18,210320
2018-03-08 07:00:00,10.12,10.2,10.1,10.18,50110
2018-03-09 07:00:00,10.22,10.5,10.16,10.18,128150
2018-03-12 07:00:00,10.32,10.32,9.89,9.91,154990
2018-03-13 07:00:00,9.91,10.03,9.91,9.99,73540
2018-03-14 07:00:00,9.91,10.21,9.91,10.01,96290
2018-03-15 07:00:00,9.94,10.14,9.94,9.99,81500
2018-03-16 07:00:00,9.99,10.12,9.99,10.02,92250
2018-03-19 07:00:00,10.12,10.18,10.05,10.16,208690
2018-03-20 07:00:00,10.16,10.18,10.03,10.14,101740
2018-03-21 07:00:00,10.14,10.14,9.95,9.97,118240
2018-03-22 07:00:00,9.97,10.01,9.83,9.83,180310
2018-03-23 07:00:00,9.5,10.01,9.5,10.01,219750
2018-03-26 07:00:00,10.01,10.2,9.91,10.01,57030
2018-03-27 07:00:00,10.07,10.1,9.95,10.01,75440
2018-03-28 07:00:00,10.01,10.05,9.87,9.95,54990
2018-03-29 07:00:00,10.1,10.1,9.85,9.91,112660
2018-03-30 07:00:00,9.87,10.01,9.86,10.01,58800
2018-04-02 07:00:00,10.01,10.07,9.93,10.01,103690
2018-04-03 07:00:00,10.01,10.71,10.01,10.71,564860
2018-04-04 07:00:00,11.06,11.2,10.71,10.71,259150
2018-04-05 07:00:00,10.99,11.04,10.73,10.93,156320
2018-04-06 07:00:00,11.04,11.04,10.63,10.67,223940
2018-04-09 07:00:00,10.63,10.71,10.52,10.61,187690
2018-04-10 07:00:00,10.56,10.73,10.5,10.63,214370
2018-04-11 07:00:00,10.61,10.63,10.12,10.12,220130
2018-04-12 07:00:00,10.12,10.81,10.04,10.73,551920
2018-04-13 07:00:00,10.97,10.97,10.34,10.44,228650
2018-04-16 07:00:00,10.44,10.52,10.38,10.42,110140
2018-04-17 07:00:00,10.36,10.5,10.22,10.36,144560
2018-04-18 07:00:00,10.32,10.32,10.2,10.24,104200
2018-04-19 07:00:00,10.24,10.32,10.1,10.22,106900
2018-04-20 07:00:00,10.2,10.22,9.99,10.12,172190
2018-04-23 07:00:00,10.14,10.46,9.46,9.46,304550
2018-04-24 07:00:00,9.79,9.79,9.3,9.3,119120
2018-04-26 07:00:00,9.3,9.4,8.65,8.65,221250
2018-04-27 07:00:00,8.66,8.99,8.66,8.73,171350
2018-05-02 07:00:00,8.79,8.99,8.13,8.13,249010
2018-05-03 07:00:00,8.13,8.13,7.57,8.11,680160
2018-05-04 07:00:00,8.17,8.28,7.97,7.99,165170
2018-05-07 07:00:00,7.83,8.17,7.76,8.11,127360
2018-05-08 07:00:00,7.99,8.15,7.97,8.07,159790
2018-05-09 07:00:00,8.09,8.38,8.07,8.22,132810
2018-05-10 07:00:00,8.18,8.19,8.01,8.01,151120
2018-05-11 07:00:00,7.97,8.03,7.79,7.89,100520
2018-05-14 07:00:00,7.91,7.95,7.79,7.89,99380
2018-05-15 07:00:00,8.05,8.44,8.05,8.44,179350
2018-05-16 07:00:00,8.44,8.44,8.17,8.19,74660
2018-05-17 07:00:00,8.19,8.56,8.17,8.38,153560
2018-05-18 07:00:00,8.38,8.38,8.19,8.36,69060
2018-05-21 07:00:00,8.77,8.77,8.19,8.2,64540
2018-05-22 07:00:00,8.17,8.26,7.91,7.97,248280
2018-05-23 07:00:00,7.97,8.22,7.87,8.13,138500
2018-05-24 07:00:00,8.32,8.38,8.13,8.15,114210
2018-05-25 07:00:00,8.38,8.58,8.08,8.08,161310
2018-05-28 07:00:00,8.07,8.08,7.52,7.52,319340
2018-05-29 07:00:00,7.56,7.89,7.52,7.76,140370
2018-05-30 07:00:00,7.81,7.93,7.76,7.87,127630
2018-05-31 07:00:00,7.81,8.07,7.81,7.95,72630
2018-06-01 07:00:00,7.95,8.28,7.87,8.07,94250
2018-06-04 07:00:00,8.07,8.15,8.01,8.13,112670
2018-06-05 07:00:00,8.15,8.36,8.09,8.15,216500
2018-06-06 07:00:00,8.13,8.15,7.99,8.07,105150
2018-06-07 07:00:00,8.17,8.48,8.17,8.26,411610
2018-06-08 07:00:00,8.26,8.26,8.09,8.09,169860
2018-06-11 07:00:00,8.06,8.15,8.05,8.07,79720
2018-06-12 07:00:00,8.07,8.07,7.68,7.87,188420
2018-06-13 07:00:00,7.87,7.93,7.84,7.93,58890
2018-06-14 07:00:00,7.93,7.97,7.76,7.79,118090
2018-06-15 07:00:00,7.79,7.97,7.79,7.95,67200
