time,open,high,low,close,volume
2018-01-05 07:00:00,19.32,19.32,19.32,19.32,400
2018-01-25 07:00:00,19.32,19.32,19.32,19.32,1200
2018-01-29 07:00:00,17.39,19.32,17.39,19.32,200
2018-01-30 07:00:00,18.79,19.38,17.82,19.38,6100
2018-02-01 07:00:00,19.32,19.32,19.32,19.32,100
2018-02-02 07:00:00,19.32,19.32,19.32,19.32,1000
2018-02-05 07:00:00,18.25,18.25,18.25,18.25,100
2018-02-06 07:00:00,18.79,20.08,17.88,18.09,5500
2018-02-09 07:00:00,19.81,19.86,19.81,19.86,200
2018-02-27 07:00:00,19.32,19.32,19.32,19.32,600
2018-03-01 07:00:00,19.32,20.94,19.32,20.94,1200
2018-03-02 07:00:00,20.94,20.94,20.94,20.94,800
2018-03-05 07:00:00,20.88,20.88,19.32,19.32,2700
2018-03-13 07:00:00,21.26,21.26,21.26,21.26,4000
2018-03-16 07:00:00,19.54,19.54,19.54,19.54,100
2018-03-20 07:00:00,21.47,21.47,21.47,21.47,200
2018-03-22 07:00:00,19.59,19.59,19.59,19.59,100
2018-03-26 07:00:00,21.47,21.53,21.47,21.53,5100
2018-03-27 07:00:00,19.65,19.65,19.65,19.65,100
2018-03-28 07:00:00,21.58,21.58,19.59,19.59,2100
2018-03-29 07:00:00,21.53,21.53,19.54,19.54,3100
2018-03-30 07:00:00,18.09,18.09,18.09,18.09,100
2018-04-02 07:00:00,19.86,19.86,19.86,19.86,100
2018-04-06 07:00:00,21.47,21.85,21.47,21.85,8000
2018-04-09 07:00:00,19.86,19.86,19.86,19.86,100
2018-04-10 07:00:00,21.85,21.85,21.85,21.85,1400
2018-04-11 07:00:00,20.45,20.45,20.45,20.45,100
2018-04-12 07:00:00,21.47,22.49,19.97,22.49,2800
2018-04-13 07:00:00,20.51,21.47,20.51,20.51,1200
2018-04-16 07:00:00,22.55,22.55,20.45,20.45,1800
2018-04-17 07:00:00,19.86,22.49,19.86,22.49,1200
2018-04-18 07:00:00,20.67,20.67,20.67,20.67,100
2018-04-20 07:00:00,20.4,20.4,20.4,20.4,100
2018-04-23 07:00:00,20.02,22.44,20.02,20.13,3200
2018-04-24 07:00:00,22.12,22.12,22.12,22.12,400
2018-04-26 07:00:00,20.51,23.62,20.51,20.51,1200
2018-04-27 07:00:00,22.22,22.55,20.51,20.51,13500
2018-05-02 07:00:00,22.55,22.55,22.55,22.55,3000
2018-05-04 07:00:00,20.51,20.51,20.51,20.51,200
2018-05-07 07:00:00,22.55,22.55,20.45,20.45,10000
