time,open,high,low,close,volume
2018-01-02 07:00:00,46.1,46.1,46.1,46.1,700
2018-01-03 07:00:00,46.1,46.1,46.1,46.1,15
2018-01-04 07:00:00,46.1,46.1,46.1,46.1,200
2018-01-10 07:00:00,50.3,50.3,50.3,50.3,100
2018-01-12 07:00:00,50.3,53.0,50.3,53.0,5200
2018-01-15 07:00:00,47.7,54.7,47.7,54.7,1410
2018-01-16 07:00:00,54.4,58.0,54.4,58.0,12867
2018-01-17 07:00:00,59.0,63.0,56.0,56.0,2600
2018-01-18 07:00:00,56.5,61.6,53.6,61.6,10720
2018-01-19 07:00:00,60.0,67.7,60.0,67.7,18518
2018-01-22 07:00:00,65.5,65.5,65.0,65.0,4010
2018-01-23 07:00:00,60.0,62.0,59.5,62.0,32900
2018-01-24 07:00:00,60.0,68.2,60.0,68.2,16652
2018-01-25 07:00:00,68.0,70.0,68.0,70.0,7740
2018-01-26 07:00:00,66.2,77.0,66.2,77.0,20115
2018-01-29 07:00:00,70.5,84.5,70.1,78.0,25170
2018-01-30 07:00:00,78.0,84.0,75.0,82.0,7629
2018-01-31 07:00:00,82.0,82.0,82.0,82.0,100
2018-02-02 07:00:00,79.5,82.0,79.5,82.0,7100
2018-02-05 07:00:00,82.0,82.0,82.0,82.0,10
2018-02-06 07:00:00,73.8,73.8,73.8,73.8,100
2018-02-07 07:00:00,80.0,81.1,80.0,81.1,434
2018-02-08 07:00:00,80.0,85.0,80.0,85.0,2800
2018-02-09 07:00:00,83.0,83.0,83.0,83.0,200
2018-02-12 07:00:00,83.0,83.0,83.0,83.0,10
2018-03-02 07:00:00,74.7,91.3,74.7,91.3,520
2018-03-19 07:00:00,89.8,99.9,89.8,99.9,410
2018-03-21 07:00:00,99.0,99.0,99.0,99.0,100
2018-04-27 07:00:00,99.0,99.0,99.0,99.0,200
2018-05-15 07:00:00,99.0,99.0,99.0,99.0,1
2018-05-29 07:00:00,99.0,99.0,99.0,99.0,100
2018-06-05 07:00:00,98.9,99.0,98.9,99.0,200
2018-06-07 07:00:00,89.1,89.1,89.1,89.1,309
2018-06-11 07:00:00,90.0,98.0,80.2,80.2,400
2018-06-13 07:00:00,72.2,72.2,72.2,72.2,101
2018-06-14 07:00:00,72.2,72.2,72.2,72.2,47
2018-06-15 07:00:00,72.2,72.2,72.2,72.2,1
2018-06-18 07:00:00,65.0,65.0,65.0,65.0,130
2018-06-20 07:00:00,58.5,58.5,58.5,58.5,100
2018-06-21 07:00:00,52.7,52.7,52.7,52.7,100
2018-06-22 07:00:00,47.5,47.5,47.5,47.5,500
2018-06-25 07:00:00,42.8,50.0,42.8,50.0,400
2018-06-26 07:00:00,50.0,50.0,50.0,50.0,200
2018-06-27 07:00:00,54.0,54.0,50.0,52.0,500
2018-06-28 07:00:00,46.8,46.8,46.8,46.8,100
2018-06-29 07:00:00,42.3,46.8,42.3,46.8,700
2018-07-03 07:00:00,42.2,42.2,42.2,42.2,250
2018-07-04 07:00:00,38.7,38.7,38.7,38.7,107
2018-07-05 07:00:00,38.0,42.5,38.0,42.5,300
2018-07-06 07:00:00,39.2,39.2,39.2,39.2,100
2018-07-09 07:00:00,36.2,43.1,36.2,43.1,500
2018-07-12 07:00:00,47.4,47.4,47.4,47.4,100
2018-07-13 07:00:00,43.0,47.3,43.0,47.3,300
2018-07-16 07:00:00,52.0,52.0,52.0,52.0,540
2018-07-17 07:00:00,47.0,57.2,46.8,57.2,4700
2018-07-24 07:00:00,57.2,59.5,57.2,59.5,200
2018-07-26 07:00:00,61.5,61.5,61.5,61.5,100
2018-07-30 07:00:00,61.5,64.5,61.5,64.5,310
2018-08-02 07:00:00,68.9,68.9,68.9,68.9,100
2018-08-03 07:00:00,74.5,74.5,74.5,74.5,100
2018-08-21 07:00:00,74.5,74.5,74.5,74.5,13
2018-08-23 07:00:00,67.1,67.1,67.1,67.1,100
