time,open,high,low,close,volume
2018-01-02 07:00:00,3.64,3.64,3.54,3.59,190470
2018-01-03 07:00:00,3.59,3.59,3.46,3.5,118010
2018-01-04 07:00:00,3.56,3.6,3.49,3.56,395370
2018-01-05 07:00:00,3.55,3.63,3.53,3.53,108700
2018-01-08 07:00:00,3.51,3.55,3.42,3.42,245580
2018-01-09 07:00:00,3.42,3.66,3.42,3.66,409820
2018-01-10 07:00:00,3.71,3.9,3.66,3.68,815920
2018-01-11 07:00:00,3.64,3.72,3.55,3.69,220590
2018-01-12 07:00:00,3.61,3.7,3.59,3.61,178220
2018-01-15 07:00:00,3.59,3.61,3.55,3.55,188440
2018-01-16 07:00:00,3.55,3.66,3.53,3.55,157550
2018-01-17 07:00:00,3.52,3.61,3.35,3.52,482220
2018-01-18 07:00:00,3.53,3.53,3.45,3.49,135130
2018-01-19 07:00:00,3.58,3.58,3.46,3.47,79000
2018-01-22 07:00:00,3.48,3.51,3.45,3.48,124930
2018-01-25 07:00:00,3.48,3.48,3.38,3.42,243750
2018-01-26 07:00:00,3.4,3.45,3.37,3.38,142580
2018-01-29 07:00:00,3.4,3.4,3.23,3.27,147140
2018-01-30 07:00:00,3.27,3.33,3.26,3.28,147400
2018-01-31 07:00:00,3.29,3.29,3.14,3.17,246370
2018-02-01 07:00:00,3.17,3.18,3.1,3.16,112780
2018-02-02 07:00:00,3.16,3.38,3.16,3.38,325380
2018-02-05 07:00:00,3.38,3.6,3.29,3.46,611700
2018-02-06 07:00:00,3.23,3.46,3.22,3.4,459760
2018-02-07 07:00:00,3.46,3.46,3.33,3.33,146130
2018-02-08 07:00:00,3.4,3.4,3.2,3.23,72290
2018-02-09 07:00:00,3.18,3.23,3.01,3.03,297500
2018-02-12 07:00:00,3.2,3.24,3.13,3.13,49780
2018-02-13 07:00:00,3.13,3.33,3.12,3.29,93960
2018-02-21 07:00:00,3.29,3.42,3.29,3.37,71080
2018-02-22 07:00:00,3.37,3.37,3.25,3.34,31870
2018-02-23 07:00:00,3.4,3.4,3.27,3.32,105270
2018-02-26 07:00:00,3.29,3.36,3.2,3.23,142940
2018-02-27 07:00:00,3.23,3.25,3.18,3.2,49490
2018-02-28 07:00:00,3.25,3.25,3.12,3.2,60190
2018-03-01 07:00:00,3.2,3.2,3.19,3.2,39240
2018-03-02 07:00:00,3.23,3.36,3.2,3.31,82690
2018-03-05 07:00:00,3.34,3.38,3.31,3.32,115040
2018-03-06 07:00:00,3.31,3.32,3.23,3.32,112150
2018-03-07 07:00:00,3.32,3.54,3.29,3.42,463620
2018-03-08 07:00:00,3.42,3.45,3.36,3.38,139870
2018-03-09 07:00:00,3.42,3.42,3.29,3.3,117190
2018-03-12 07:00:00,3.29,3.45,3.29,3.37,89530
2018-03-13 07:00:00,3.37,3.47,3.3,3.38,65540
2018-03-14 07:00:00,3.35,3.52,3.35,3.5,281100
2018-03-15 07:00:00,3.52,3.52,3.44,3.5,267960
2018-03-16 07:00:00,3.5,3.5,3.45,3.49,79180
2018-03-19 07:00:00,3.47,3.48,3.38,3.38,156720
2018-03-20 07:00:00,3.38,3.39,3.3,3.3,199420
2018-03-21 07:00:00,3.3,3.47,3.3,3.38,67460
2018-03-22 07:00:00,3.38,3.38,3.31,3.32,60940
2018-03-23 07:00:00,3.31,3.37,3.25,3.29,103580
2018-03-26 07:00:00,3.29,3.3,3.24,3.29,168760
2018-03-27 07:00:00,3.26,3.29,3.22,3.22,99880
2018-03-28 07:00:00,3.2,3.27,3.0,3.0,754590
2018-03-29 07:00:00,3.04,3.1,2.96,2.96,118890
2018-03-30 07:00:00,3.01,3.01,2.92,2.92,53950
2018-04-02 07:00:00,2.95,3.0,2.82,2.91,75180
2018-04-03 07:00:00,2.91,2.94,2.87,2.91,103660
2018-04-04 07:00:00,2.85,2.93,2.82,2.88,206270
2018-04-05 07:00:00,2.84,2.93,2.82,2.89,127090
2018-04-06 07:00:00,2.88,3.0,2.88,3.0,125440
2018-04-09 07:00:00,3.01,3.01,2.93,3.01,113400
2018-04-10 07:00:00,2.96,3.0,2.92,3.0,63550
2018-04-11 07:00:00,2.91,2.99,2.9,2.91,101180
2018-04-12 07:00:00,2.91,2.91,2.79,2.79,230780
2018-04-13 07:00:00,2.81,2.83,2.79,2.82,32890
2018-04-16 07:00:00,2.82,2.87,2.81,2.82,59040
2018-04-17 07:00:00,2.82,2.86,2.81,2.83,87460
2018-04-18 07:00:00,2.85,2.85,2.8,2.82,87510
2018-04-19 07:00:00,2.82,2.84,2.8,2.81,94040
2018-04-20 07:00:00,2.82,2.84,2.81,2.83,86010
2018-04-23 07:00:00,2.83,2.84,2.81,2.81,110850
2018-04-24 07:00:00,2.81,2.95,2.81,2.85,187870
2018-04-26 07:00:00,2.82,2.87,2.73,2.82,79520
2018-04-27 07:00:00,2.82,2.84,2.8,2.82,64290
2018-05-02 07:00:00,2.82,2.82,2.75,2.81,48560
2018-05-03 07:00:00,2.82,2.82,2.63,2.77,129380
2018-05-04 07:00:00,2.74,2.81,2.69,2.76,28090
2018-05-07 07:00:00,2.77,2.8,2.73,2.78,78360
2018-05-08 07:00:00,2.75,2.8,2.75,2.8,70820
2018-05-09 07:00:00,2.8,2.81,2.76,2.81,39120
2018-05-10 07:00:00,2.81,2.82,2.79,2.81,108520
2018-05-11 07:00:00,2.79,2.91,2.79,2.88,33990
2018-05-14 07:00:00,2.88,2.91,2.84,2.87,79140
2018-05-15 07:00:00,2.89,2.89,2.83,2.85,46510
2018-05-16 07:00:00,2.85,2.85,2.81,2.83,84350
2018-05-17 07:00:00,2.82,2.84,2.78,2.84,97330
2018-05-18 07:00:00,2.84,2.86,2.82,2.83,105700
2018-05-21 07:00:00,2.83,2.84,2.75,2.83,42620
2018-05-22 07:00:00,2.83,2.97,2.75,2.79,115280
2018-05-23 07:00:00,2.82,2.82,2.77,2.81,65750
2018-05-24 07:00:00,2.89,2.9,2.77,2.81,6910
2018-05-25 07:00:00,2.78,2.84,2.75,2.75,231360
2018-05-28 07:00:00,2.82,2.82,2.69,2.75,255020
2018-05-29 07:00:00,2.82,2.82,2.65,2.65,98050
2018-05-30 07:00:00,2.8,2.8,2.6,2.65,39110
2018-05-31 07:00:00,2.73,2.81,2.63,2.73,58080
2018-06-01 07:00:00,2.81,2.81,2.56,2.75,90630
2018-06-04 07:00:00,2.74,2.93,2.74,2.93,159710
2018-06-05 07:00:00,2.98,2.99,2.82,2.93,155380
2018-06-06 07:00:00,2.91,2.92,2.82,2.9,108610
2018-06-07 07:00:00,2.82,2.9,2.79,2.82,131020
2018-06-08 07:00:00,2.82,2.87,2.81,2.81,75240
2018-06-11 07:00:00,2.86,2.93,2.86,2.9,135950
2018-06-12 07:00:00,2.9,2.91,2.8,2.91,185480
2018-06-13 07:00:00,2.9,2.95,2.86,2.91,255970
2018-06-14 07:00:00,2.87,2.91,2.86,2.86,85530
2018-06-15 07:00:00,2.91,2.91,2.84,2.87,27400
2018-06-18 07:00:00,2.9,2.9,2.82,2.86,70560
2018-06-19 07:00:00,2.99,2.99,2.66,2.67,80480
2018-06-20 07:00:00,2.84,2.84,2.71,2.82,38780
2018-06-21 07:00:00,2.75,2.82,2.75,2.82,19330
2018-06-22 07:00:00,2.82,2.82,2.76,2.82,40000
2018-06-25 07:00:00,2.91,2.91,2.79,2.8,39220
2018-06-26 07:00:00,2.77,2.8,2.74,2.75,48720
2018-06-27 07:00:00,2.87,2.87,2.74,2.81,37730
2018-06-28 07:00:00,2.75,2.81,2.73,2.75,45970
2018-06-29 07:00:00,2.8,2.8,2.73,2.73,27090
2018-07-02 07:00:00,2.78,2.78,2.63,2.68,49160
2018-07-03 07:00:00,2.63,2.73,2.53,2.54,175170
2018-07-04 07:00:00,2.7,2.71,2.53,2.54,120920
2018-07-05 07:00:00,2.54,2.61,2.49,2.52,38490
2018-07-06 07:00:00,2.49,2.58,2.49,2.57,25020
2018-07-09 07:00:00,2.52,2.62,2.52,2.53,14440
2018-07-10 07:00:00,2.59,2.59,2.45,2.54,69690
2018-07-11 07:00:00,2.52,2.58,2.47,2.49,73960
2018-07-12 07:00:00,2.49,2.53,2.44,2.5,61470
2018-07-13 07:00:00,2.46,2.51,2.46,2.51,38150
2018-07-16 07:00:00,2.6,2.63,2.54,2.6,125320
2018-07-17 07:00:00,2.61,2.61,2.46,2.61,85470
2018-07-18 07:00:00,2.54,2.61,2.52,2.59,112080
2018-07-19 07:00:00,2.54,2.63,2.54,2.63,264670
2018-07-20 07:00:00,2.63,2.63,2.55,2.58,140860
2018-07-23 07:00:00,2.58,2.73,2.56,2.59,83340
2018-07-24 07:00:00,2.56,2.65,2.56,2.63,128720
2018-07-25 07:00:00,2.73,2.77,2.6,2.75,234530
2018-07-26 07:00:00,2.79,2.79,2.65,2.75,139500
2018-07-27 07:00:00,2.68,2.75,2.66,2.66,120670
2018-07-30 07:00:00,2.64,2.68,2.63,2.68,92620
2018-07-31 07:00:00,2.63,2.63,2.59,2.63,98390
2018-08-01 07:00:00,2.67,2.67,2.59,2.63,59830
2018-08-02 07:00:00,2.63,2.63,2.56,2.59,19210
2018-08-03 07:00:00,2.59,2.66,2.58,2.65,122400
2018-08-06 07:00:00,2.67,2.67,2.57,2.63,47800
2018-08-07 07:00:00,2.59,2.66,2.54,2.62,106430
2018-08-08 07:00:00,2.56,2.62,2.56,2.6,72330
