time,open,high,low,close,volume
2018-01-02 07:00:00,12.41,12.63,12.24,12.45,52340
2018-01-03 07:00:00,12.5,12.58,12.33,12.45,51130
2018-01-04 07:00:00,12.41,12.54,12.33,12.54,34530
2018-01-05 07:00:00,12.45,12.5,12.33,12.33,68560
2018-01-08 07:00:00,12.03,12.54,12.03,12.48,70050
2018-01-09 07:00:00,12.6,13.33,12.48,13.33,221730
2018-01-10 07:00:00,13.35,13.48,13.1,13.29,101180
2018-01-11 07:00:00,13.18,13.7,13.14,13.57,132160
2018-01-12 07:00:00,13.46,13.7,13.33,13.46,101880
2018-01-15 07:00:00,13.44,13.44,12.88,13.2,71890
2018-01-16 07:00:00,12.58,13.2,12.28,12.58,482540
2018-01-17 07:00:00,12.37,13.05,12.37,12.37,127650
2018-01-18 07:00:00,12.37,12.58,12.2,12.41,58290
2018-01-19 07:00:00,12.56,12.82,12.41,12.5,84640
2018-01-22 07:00:00,12.54,12.6,12.09,12.33,171760
2018-01-25 07:00:00,12.11,12.24,11.56,11.6,267770
2018-01-26 07:00:00,11.6,11.85,11.56,11.58,100080
2018-01-29 07:00:00,11.58,11.77,11.21,11.26,227660
2018-01-30 07:00:00,11.26,11.3,10.83,10.87,132320
2018-01-31 07:00:00,11.34,11.34,11.0,11.21,56110
2018-02-01 07:00:00,11.26,11.26,10.72,11.21,66820
2018-02-02 07:00:00,11.21,11.23,11.04,11.19,18740
2018-02-05 07:00:00,11.08,11.08,10.42,10.42,180480
2018-02-06 07:00:00,9.84,10.14,9.69,9.69,186890
2018-02-07 07:00:00,9.69,10.36,9.69,10.01,88630
2018-02-08 07:00:00,9.84,10.31,9.84,10.12,20300
2018-02-09 07:00:00,9.42,10.19,9.42,10.19,42960
2018-02-12 07:00:00,10.36,10.89,10.36,10.89,178670
2018-02-13 07:00:00,11.13,11.64,11.08,11.64,176400
2018-02-21 07:00:00,12.41,12.41,11.94,12.41,131960
2018-02-22 07:00:00,12.2,12.33,11.73,11.81,45240
2018-02-23 07:00:00,11.56,11.9,11.56,11.81,44470
2018-02-26 07:00:00,12.15,12.15,11.13,11.13,45980
2018-02-27 07:00:00,11.13,11.77,10.7,11.56,107890
2018-02-28 07:00:00,11.51,11.56,11.13,11.13,18620
2018-03-01 07:00:00,11.38,11.81,11.26,11.56,137400
2018-03-02 07:00:00,11.56,11.56,11.15,11.26,20980
2018-03-05 07:00:00,11.26,11.26,10.91,10.91,67030
2018-03-06 07:00:00,11.47,11.51,10.72,11.21,93610
2018-03-07 07:00:00,11.21,11.21,10.7,11.13,42980
2018-03-08 07:00:00,11.3,11.64,11.13,11.3,385680
2018-03-09 07:00:00,11.47,11.47,10.76,11.13,36130
2018-03-12 07:00:00,11.13,11.13,10.78,10.91,230060
2018-03-13 07:00:00,11.0,11.38,10.4,10.4,182170
2018-03-14 07:00:00,10.53,11.13,10.49,10.49,298480
2018-03-15 07:00:00,10.7,11.21,10.61,10.74,492600
2018-03-16 07:00:00,10.78,11.0,10.78,10.78,19590
2018-03-19 07:00:00,11.0,11.21,10.7,10.87,194140
2018-03-20 07:00:00,11.08,11.08,10.83,10.83,23730
2018-03-21 07:00:00,10.87,11.34,10.87,11.26,299060
2018-03-22 07:00:00,11.17,11.17,10.93,10.93,28690
2018-03-23 07:00:00,10.74,11.0,10.7,10.91,29150
2018-03-26 07:00:00,10.78,10.91,10.74,10.91,8730
2018-03-27 07:00:00,10.91,10.91,10.16,10.87,16820
2018-03-28 07:00:00,10.87,10.87,10.29,10.51,20710
2018-03-29 07:00:00,10.29,11.25,10.29,10.71,262660
2018-03-30 07:00:00,10.71,11.45,10.71,11.45,329930
2018-04-02 07:00:00,11.98,12.23,11.96,12.23,265230
2018-04-03 07:00:00,12.47,13.01,12.23,12.7,184530
2018-04-04 07:00:00,12.7,13.57,12.67,13.57,580840
2018-04-05 07:00:00,13.57,13.57,12.63,12.74,52820
2018-04-06 07:00:00,12.21,12.5,12.21,12.47,1720
2018-04-09 07:00:00,12.47,12.47,11.67,12.34,66580
2018-04-10 07:00:00,12.34,12.34,11.58,11.63,106110
2018-04-11 07:00:00,11.63,12.03,11.58,11.63,105560
2018-04-12 07:00:00,11.63,12.43,11.63,12.16,122280
2018-04-13 07:00:00,11.72,12.25,11.56,12.03,16410
2018-04-16 07:00:00,11.29,12.25,11.29,11.41,24830
2018-04-17 07:00:00,11.41,12.18,11.41,12.03,104390
2018-04-18 07:00:00,12.25,12.85,11.94,12.25,36770
2018-04-19 07:00:00,12.47,12.47,11.85,12.18,6870
2018-04-20 07:00:00,11.61,11.92,11.56,11.58,52050
2018-04-23 07:00:00,11.63,11.63,11.38,11.58,26040
2018-04-24 07:00:00,11.2,11.58,11.2,11.54,8360
2018-04-26 07:00:00,11.23,11.36,10.92,11.05,51690
2018-04-27 07:00:00,11.09,11.45,11.05,11.45,11660
2018-05-02 07:00:00,11.36,11.36,10.67,10.67,78600
2018-05-03 07:00:00,11.29,11.29,9.91,9.91,46950
2018-05-04 07:00:00,10.11,10.11,9.24,9.83,39610
2018-05-07 07:00:00,9.55,9.83,9.32,9.32,26270
2018-05-08 07:00:00,9.1,9.97,9.1,9.94,35100
2018-05-09 07:00:00,10.11,10.11,9.49,9.49,14370
2018-05-10 07:00:00,9.49,9.55,9.01,9.49,23450
2018-05-11 07:00:00,9.15,9.55,9.15,9.55,3310
2018-05-14 07:00:00,9.49,9.49,9.43,9.49,12530
2018-05-15 07:00:00,9.43,10.0,9.43,9.88,46880
2018-05-16 07:00:00,10.0,10.0,9.66,9.77,22970
2018-05-17 07:00:00,9.72,9.72,9.55,9.72,15920
2018-05-18 07:00:00,9.72,10.05,9.55,9.77,18790
2018-05-21 07:00:00,9.83,9.83,9.55,9.55,24840
2018-05-22 07:00:00,9.55,9.55,9.27,9.49,17910
2018-05-23 07:00:00,9.01,9.43,8.99,9.43,40300
