time,open,high,low,close,volume
2018-01-02 07:00:00,3.99,3.99,3.99,3.99,5100
2018-01-03 07:00:00,3.89,3.99,3.89,3.99,5000
2018-01-04 07:00:00,3.99,3.99,3.99,3.99,1600
2018-01-08 07:00:00,3.99,4.08,3.99,4.08,8900
2018-01-09 07:00:00,4.08,4.08,3.99,3.99,4500
2018-01-10 07:00:00,4.08,4.08,3.99,4.08,3200
2018-01-11 07:00:00,4.08,4.18,4.08,4.18,1300
2018-01-12 07:00:00,4.18,4.18,3.99,4.18,3800
2018-01-15 07:00:00,3.99,4.18,3.99,4.18,5200
2018-01-16 07:00:00,3.99,4.18,3.99,4.18,3400
2018-01-18 07:00:00,3.89,4.28,3.89,4.28,2100
2018-01-25 07:00:00,4.18,4.18,4.18,4.18,100
2018-01-26 07:00:00,4.28,4.28,4.28,4.28,130
2018-01-29 07:00:00,4.08,4.08,3.99,3.99,9800
2018-01-30 07:00:00,4.08,4.08,4.08,4.08,100
2018-01-31 07:00:00,3.99,4.08,3.99,4.08,3400
2018-02-01 07:00:00,3.89,3.89,3.89,3.89,20000
2018-02-02 07:00:00,3.99,3.99,3.79,3.99,18600
2018-02-05 07:00:00,3.99,3.99,3.79,3.79,8800
2018-02-06 07:00:00,3.6,3.79,3.5,3.69,25300
2018-02-07 07:00:00,3.79,3.99,3.79,3.99,3600
2018-02-09 07:00:00,3.6,3.89,3.6,3.89,300
2018-02-13 07:00:00,4.28,4.28,4.28,4.28,100
2018-02-21 07:00:00,4.08,4.08,3.99,3.99,1100
2018-02-22 07:00:00,3.99,3.99,3.99,3.99,100
2018-02-23 07:00:00,4.18,4.18,4.18,4.18,400
2018-02-26 07:00:00,4.18,4.37,4.18,4.28,216900
2018-02-27 07:00:00,3.99,4.08,3.99,4.08,11600
2018-02-28 07:00:00,4.08,4.28,4.08,4.28,200
2018-03-01 07:00:00,4.18,4.18,4.08,4.08,2300
2018-03-08 07:00:00,4.18,4.18,4.18,4.18,4100
