time,open,high,low,close,volume
2018-01-02 07:00:00,2.63,2.67,2.63,2.65,4836310
2018-01-03 07:00:00,2.65,2.67,2.61,2.62,4987120
2018-01-04 07:00:00,2.62,2.75,2.62,2.71,9080000
2018-01-05 07:00:00,2.77,2.85,2.72,2.72,13209620
2018-01-08 07:00:00,2.71,2.72,2.66,2.68,4635790
2018-01-09 07:00:00,2.7,2.73,2.65,2.69,6875400
2018-01-10 07:00:00,2.69,2.76,2.69,2.74,9200630
2018-01-11 07:00:00,2.74,2.86,2.71,2.84,12787930
2018-01-12 07:00:00,2.74,2.88,2.74,2.74,9863450
2018-01-15 07:00:00,2.74,2.75,2.7,2.72,4811940
2018-01-16 07:00:00,2.68,2.73,2.66,2.68,6364030
2018-01-17 07:00:00,2.64,2.71,2.64,2.64,8277530
2018-01-18 07:00:00,2.62,2.67,2.61,2.67,4686620
2018-01-19 07:00:00,2.66,2.68,2.61,2.62,4713440
2018-01-22 07:00:00,2.61,2.64,2.54,2.55,9934480
2018-01-25 07:00:00,2.55,2.61,2.54,2.56,8830130
2018-01-26 07:00:00,2.57,2.61,2.56,2.6,4605750
2018-01-29 07:00:00,2.59,2.61,2.54,2.54,4322200
2018-01-30 07:00:00,2.56,2.59,2.52,2.57,4377820
2018-01-31 07:00:00,2.58,2.6,2.49,2.49,5682370
2018-02-01 07:00:00,2.51,2.54,2.49,2.51,5016530
2018-02-02 07:00:00,2.51,2.53,2.5,2.52,3838770
2018-02-05 07:00:00,2.5,2.5,2.35,2.35,5991210
2018-02-06 07:00:00,2.19,2.32,2.19,2.26,13351880
2018-02-07 07:00:00,2.31,2.38,2.3,2.33,7773580
2018-02-08 07:00:00,2.34,2.34,2.27,2.27,5134510
2018-02-09 07:00:00,2.17,2.28,2.17,2.24,3705820
2018-02-12 07:00:00,2.24,2.29,2.24,2.27,2002310
2018-02-13 07:00:00,2.31,2.39,2.26,2.38,3009980
2018-02-21 07:00:00,2.4,2.45,2.38,2.4,1646900
2018-02-22 07:00:00,2.4,2.4,2.33,2.35,1630230
2018-02-23 07:00:00,2.39,2.4,2.35,2.39,2868870
2018-02-26 07:00:00,2.39,2.4,2.32,2.33,3310900
2018-02-27 07:00:00,2.33,2.36,2.29,2.33,3340640
2018-02-28 07:00:00,2.31,2.33,2.27,2.27,3631770
2018-03-01 07:00:00,2.27,2.3,2.24,2.28,4933050
2018-03-02 07:00:00,2.26,2.28,2.25,2.27,3528270
2018-03-05 07:00:00,2.27,2.3,2.26,2.28,3512580
2018-03-06 07:00:00,2.28,2.31,2.27,2.31,5609130
2018-03-07 07:00:00,2.31,2.47,2.29,2.43,9152460
2018-03-08 07:00:00,2.43,2.47,2.35,2.38,5317270
2018-03-09 07:00:00,2.38,2.39,2.34,2.36,3304000
2018-03-12 07:00:00,2.34,2.36,2.31,2.31,3545030
2018-03-13 07:00:00,2.31,2.33,2.28,2.31,5192010
2018-03-14 07:00:00,2.31,2.33,2.29,2.31,4161180
2018-03-15 07:00:00,2.31,2.33,2.29,2.32,3278140
2018-03-16 07:00:00,2.32,2.36,2.3,2.35,5483980
2018-03-19 07:00:00,2.36,2.38,2.33,2.34,4645770
2018-03-20 07:00:00,2.32,2.34,2.3,2.32,3184900
2018-03-21 07:00:00,2.34,2.39,2.33,2.35,7689020
2018-03-22 07:00:00,2.35,2.36,2.3,2.32,3645320
2018-03-23 07:00:00,2.29,2.29,2.24,2.25,7016470
2018-03-26 07:00:00,2.25,2.27,2.23,2.25,3323670
2018-03-27 07:00:00,2.29,2.32,2.25,2.25,4993360
2018-03-28 07:00:00,2.25,2.29,2.25,2.28,3381520
2018-03-29 07:00:00,2.28,2.29,2.25,2.26,1643260
2018-03-30 07:00:00,2.27,2.27,2.25,2.27,2808710
2018-04-02 07:00:00,2.27,2.28,2.25,2.27,3189800
2018-04-03 07:00:00,2.26,2.29,2.25,2.27,3867930
2018-04-04 07:00:00,2.28,2.31,2.26,2.28,3953900
2018-04-05 07:00:00,2.28,2.29,2.27,2.29,3182340
2018-04-06 07:00:00,2.29,2.36,2.29,2.33,6810790
2018-04-09 07:00:00,2.34,2.38,2.31,2.31,4570720
2018-04-10 07:00:00,2.31,2.32,2.26,2.29,3916670
2018-04-11 07:00:00,2.3,2.3,2.23,2.23,3557030
2018-04-12 07:00:00,2.23,2.25,2.22,2.25,3586540
2018-04-13 07:00:00,2.26,2.27,2.24,2.25,2960820
2018-04-16 07:00:00,2.23,2.26,2.23,2.25,2981930
2018-04-17 07:00:00,2.24,2.26,2.23,2.26,2734240
2018-04-18 07:00:00,2.27,2.27,2.22,2.25,3247200
2018-04-19 07:00:00,2.25,2.26,2.22,2.23,3572410
2018-04-20 07:00:00,2.22,2.24,2.21,2.23,1785510
2018-04-23 07:00:00,2.23,2.24,2.18,2.18,2733540
2018-04-24 07:00:00,2.17,2.18,2.08,2.1,4795040
2018-04-26 07:00:00,2.07,2.1,2.0,2.02,4924450
2018-04-27 07:00:00,2.03,2.05,2.01,2.05,3500010
2018-05-02 07:00:00,2.05,2.07,2.0,2.02,2362370
2018-05-03 07:00:00,2.02,2.04,1.97,2.02,2991900
2018-05-04 07:00:00,2.02,2.04,2.0,2.03,1343960
2018-05-07 07:00:00,2.04,2.06,2.02,2.06,1239350
2018-05-08 07:00:00,2.06,2.07,2.03,2.06,1358160
2018-05-09 07:00:00,2.04,2.06,2.01,2.01,2522530
2018-05-10 07:00:00,2.03,2.03,2.0,2.02,1618850
2018-05-11 07:00:00,2.02,2.02,1.99,2.02,2321030
2018-05-14 07:00:00,2.02,2.03,1.99,2.01,1665610
2018-05-15 07:00:00,2.0,2.02,2.0,2.01,2173840
2018-05-16 07:00:00,2.08,2.1,2.03,2.04,3999500
2018-05-17 07:00:00,2.04,2.06,2.02,2.04,2549390
2018-05-18 07:00:00,2.04,2.04,2.01,2.02,2271070
2018-05-21 07:00:00,2.02,2.02,1.99,2.01,2022460
2018-05-22 07:00:00,2.01,2.01,1.92,2.01,3268620
2018-05-23 07:00:00,1.98,2.0,1.95,2.0,1556900
2018-05-24 07:00:00,1.98,2.0,1.96,1.99,970350
2018-05-25 07:00:00,1.99,1.99,1.94,1.96,1568560
2018-05-28 07:00:00,1.95,1.95,1.83,1.83,4061170
2018-05-29 07:00:00,1.79,1.89,1.76,1.85,1787270
2018-05-30 07:00:00,1.83,1.85,1.8,1.83,1251800
2018-05-31 07:00:00,1.84,1.86,1.82,1.84,909270
2018-06-01 07:00:00,1.84,1.96,1.84,1.96,6344860
2018-06-04 07:00:00,2.01,2.06,2.0,2.03,4328140
2018-06-05 07:00:00,2.05,2.05,2.01,2.01,4079390
2018-06-06 07:00:00,2.01,2.02,1.99,2.01,3489510
2018-06-07 07:00:00,2.0,2.09,1.99,2.04,2874100
2018-06-08 07:00:00,2.04,2.04,2.02,2.02,627250
2018-06-11 07:00:00,2.01,2.05,2.0,2.02,767380
2018-06-12 07:00:00,2.03,2.14,2.03,2.1,4556820
2018-06-13 07:00:00,2.1,2.19,2.1,2.15,3139320
2018-06-14 07:00:00,2.15,2.18,2.09,2.09,2639240
2018-06-15 07:00:00,2.08,2.09,2.04,2.04,3255900
2018-06-18 07:00:00,2.04,2.07,2.0,2.0,2600330
2018-06-19 07:00:00,2.02,2.02,1.88,1.94,2296660
2018-06-20 07:00:00,1.96,1.98,1.93,1.94,1476840
2018-06-21 07:00:00,1.92,2.04,1.92,1.96,3114480
2018-06-22 07:00:00,1.94,1.99,1.94,1.99,948930
2018-06-25 07:00:00,2.12,2.12,2.07,2.08,5831270
2018-06-26 07:00:00,2.07,2.09,2.05,2.07,2166780
2018-06-27 07:00:00,2.08,2.14,2.07,2.07,2116030
2018-06-28 07:00:00,2.07,2.07,1.99,2.03,4376260
2018-06-29 07:00:00,2.02,2.04,2.0,2.01,697530
2018-07-02 07:00:00,2.01,2.02,1.96,1.96,1894190
2018-07-03 07:00:00,1.96,1.97,1.88,1.9,3135840
2018-07-04 07:00:00,1.9,1.94,1.89,1.9,1574870
2018-07-05 07:00:00,1.9,1.93,1.8,1.88,2053520
2018-07-06 07:00:00,1.84,1.93,1.84,1.88,1773620
2018-07-09 07:00:00,1.96,1.96,1.87,1.87,1797080
2018-07-10 07:00:00,1.87,1.93,1.87,1.88,2003770
2018-07-11 07:00:00,1.87,1.87,1.8,1.8,2381890
2018-07-12 07:00:00,1.8,1.83,1.78,1.81,2383090
2018-07-13 07:00:00,1.85,1.87,1.84,1.85,2489670
2018-07-16 07:00:00,1.86,1.88,1.84,1.84,2099820
2018-07-17 07:00:00,1.85,1.85,1.82,1.83,1794520
2018-07-18 07:00:00,1.85,1.92,1.83,1.92,2148070
2018-07-19 07:00:00,1.9,1.92,1.87,1.9,1534990
2018-07-20 07:00:00,1.88,1.9,1.86,1.88,1058400
2018-07-23 07:00:00,1.89,1.94,1.88,1.89,1687150
2018-07-24 07:00:00,1.89,1.9,1.87,1.88,1628510
2018-07-25 07:00:00,1.89,1.98,1.88,1.96,4454510
2018-07-26 07:00:00,1.98,1.98,1.9,1.91,1690330
2018-07-27 07:00:00,1.91,1.93,1.88,1.9,2099780
2018-07-30 07:00:00,1.92,1.94,1.89,1.91,2743030
2018-07-31 07:00:00,1.92,1.95,1.9,1.92,3117200
2018-08-01 07:00:00,1.94,2.05,1.94,2.05,10700510
2018-08-02 07:00:00,2.07,2.14,2.01,2.01,7536610
2018-08-03 07:00:00,2.05,2.05,1.96,1.96,4455700
2018-08-06 07:00:00,1.96,1.99,1.93,1.95,4144050
2018-08-07 07:00:00,1.95,1.96,1.93,1.94,2461040
2018-08-08 07:00:00,1.95,1.97,1.94,1.95,2568060
2018-08-09 07:00:00,1.95,1.96,1.93,1.94,2131610
2018-08-10 07:00:00,1.94,1.95,1.91,1.95,2402730
2018-08-13 07:00:00,1.93,1.95,1.93,1.94,2080260
2018-08-14 07:00:00,1.94,1.98,1.94,1.94,2456340
2018-08-15 07:00:00,1.94,1.96,1.92,1.95,1651220
2018-08-16 07:00:00,1.94,1.94,1.91,1.94,1229480
2018-08-17 07:00:00,1.94,1.95,1.91,1.91,2112370
2018-08-20 07:00:00,1.91,1.93,1.89,1.91,2250430
2018-08-21 07:00:00,1.9,1.92,1.89,1.9,2259250
2018-08-22 07:00:00,1.9,1.91,1.89,1.89,3113010
2018-08-23 07:00:00,1.9,1.92,1.89,1.92,2191640
2018-08-24 07:00:00,1.91,1.92,1.89,1.89,1329090
2018-08-27 07:00:00,1.89,1.9,1.83,1.83,7408600
2018-08-28 07:00:00,1.84,1.86,1.81,1.83,2877140
2018-08-29 07:00:00,1.82,1.85,1.81,1.83,4315050
2018-08-30 07:00:00,1.83,1.86,1.81,1.83,5700910
2018-08-31 07:00:00,1.83,1.84,1.82,1.83,2535740
2018-09-04 07:00:00,1.82,1.83,1.8,1.81,4505910
