time,open,high,low,close,volume
2018-01-02 07:00:00,5.93,5.93,5.93,5.93,200
2018-01-04 07:00:00,5.62,6.09,5.62,6.09,400
2018-01-05 07:00:00,5.77,6.09,5.65,6.09,13200
2018-01-08 07:00:00,5.62,6.15,5.62,6.15,23184
2018-01-09 07:00:00,5.77,5.77,5.77,5.77,100
2018-01-11 07:00:00,5.77,5.77,5.65,5.77,5715
2018-01-12 07:00:00,5.71,5.77,5.71,5.77,6840
2018-01-15 07:00:00,5.71,5.74,5.71,5.74,15900
2018-01-17 07:00:00,5.84,5.84,5.84,5.84,2000
2018-01-18 07:00:00,5.84,5.84,5.71,5.74,12200
2018-01-19 07:00:00,5.77,5.77,5.71,5.71,3700
2018-01-22 07:00:00,5.71,5.74,5.71,5.74,4807
2018-01-24 07:00:00,6.09,6.09,5.93,5.93,5000
2018-01-25 07:00:00,6.12,6.24,6.12,6.15,32944
2018-01-26 07:00:00,6.12,6.15,6.12,6.15,5600
2018-01-31 07:00:00,5.68,5.68,5.68,5.68,544
2018-02-01 07:00:00,6.52,6.52,6.49,6.49,500
2018-02-02 07:00:00,6.49,6.49,5.9,6.21,16500
2018-02-05 07:00:00,6.24,6.24,6.09,6.09,15210
2018-02-06 07:00:00,5.9,5.93,5.84,5.93,87700
2018-02-07 07:00:00,6.18,6.27,6.18,6.27,18700
2018-02-08 07:00:00,6.52,6.52,6.52,6.52,200
2018-02-09 07:00:00,5.68,5.99,5.68,5.99,816
2018-02-12 07:00:00,6.55,6.55,6.55,6.55,200
2018-02-23 07:00:00,6.12,6.71,6.12,6.71,6400
2018-02-26 07:00:00,6.18,6.21,6.18,6.18,2100
2018-02-27 07:00:00,6.18,6.24,6.18,6.24,320
2018-02-28 07:00:00,6.24,6.24,6.24,6.24,200
2018-03-02 07:00:00,6.4,6.43,6.4,6.43,2800
2018-03-05 07:00:00,6.55,6.55,6.55,6.55,500
2018-03-06 07:00:00,6.58,6.68,6.58,6.65,1900
2018-03-07 07:00:00,6.68,6.68,6.68,6.68,1030
2018-03-09 07:00:00,6.55,6.68,6.55,6.68,4636
2018-03-12 07:00:00,6.68,6.68,6.55,6.55,14300
2018-03-13 07:00:00,6.84,6.84,6.74,6.74,2500
2018-03-14 07:00:00,6.62,6.77,6.62,6.77,1300
2018-03-15 07:00:00,6.71,6.77,6.55,6.77,26800
2018-03-16 07:00:00,6.77,6.99,6.77,6.99,6500
2018-03-19 07:00:00,6.62,6.95,6.62,6.78,6000
2018-03-20 07:00:00,6.88,6.88,6.88,6.88,1000
2018-03-21 07:00:00,6.88,6.88,6.88,6.88,70
2018-03-22 07:00:00,6.68,6.68,6.65,6.65,4700
2018-03-23 07:00:00,6.48,6.48,6.48,6.48,433
2018-03-28 07:00:00,6.48,6.48,6.32,6.32,3000
2018-03-29 07:00:00,6.62,6.62,6.52,6.52,6200
2018-03-30 07:00:00,6.62,6.62,6.62,6.62,700
2018-04-02 07:00:00,6.62,6.62,6.62,6.62,200
2018-04-03 07:00:00,6.68,6.78,6.58,6.62,40723
2018-04-04 07:00:00,6.78,6.78,6.78,6.78,955
2018-04-05 07:00:00,6.82,6.82,6.78,6.78,9500
2018-04-06 07:00:00,6.78,6.85,6.78,6.85,4000
2018-04-09 07:00:00,6.82,6.82,6.82,6.82,10
2018-04-10 07:00:00,6.82,6.82,6.78,6.82,13300
2018-04-11 07:00:00,6.82,6.92,6.82,6.92,18300
2018-04-12 07:00:00,6.88,7.05,6.78,7.05,31400
2018-04-13 07:00:00,6.95,7.02,6.95,6.95,5848
2018-04-16 07:00:00,6.45,6.45,6.45,6.45,100
2018-04-17 07:00:00,6.62,6.62,6.62,6.62,100
2018-04-18 07:00:00,6.95,7.05,6.95,7.05,9620
2018-04-19 07:00:00,6.92,6.92,6.92,6.92,9000
2018-04-20 07:00:00,6.92,7.05,6.92,7.05,16200
2018-04-23 07:00:00,7.02,7.05,6.95,7.05,8600
2018-04-24 07:00:00,6.82,6.82,6.82,6.82,100
2018-04-26 07:00:00,6.95,7.05,6.92,6.92,8500
2018-04-27 07:00:00,6.62,6.95,6.62,6.95,2900
2018-05-02 07:00:00,6.98,6.98,6.98,6.98,9000
2018-05-03 07:00:00,6.95,6.95,6.78,6.78,12410
2018-05-04 07:00:00,6.72,6.72,6.72,6.72,2648
2018-05-07 07:00:00,6.92,6.92,6.68,6.68,3100
2018-05-08 07:00:00,6.78,6.78,6.78,6.78,5006
2018-05-09 07:00:00,6.92,6.92,6.72,6.78,9500
2018-05-10 07:00:00,6.62,6.65,6.62,6.65,3419
2018-05-11 07:00:00,6.72,6.72,6.62,6.72,6551
2018-05-14 07:00:00,6.92,6.92,6.68,6.68,3584
2018-05-15 07:00:00,6.58,6.92,6.58,6.65,9369
2018-05-16 07:00:00,6.55,6.68,6.55,6.68,5600
2018-05-17 07:00:00,6.48,6.82,6.48,6.82,4500
2018-05-18 07:00:00,6.58,6.58,6.48,6.48,3800
2018-05-21 07:00:00,6.45,6.45,6.42,6.42,1100
2018-05-22 07:00:00,6.78,6.78,6.78,6.78,5061
2018-05-23 07:00:00,6.75,6.75,6.58,6.62,24506
2018-05-24 07:00:00,6.62,6.72,6.62,6.72,6106
2018-05-25 07:00:00,6.92,6.92,6.62,6.62,3300
2018-05-28 07:00:00,6.52,6.52,6.48,6.52,600
2018-05-29 07:00:00,6.85,6.85,6.45,6.45,3500
2018-05-30 07:00:00,6.48,6.52,6.45,6.45,2317
2018-06-01 07:00:00,6.85,6.85,6.85,6.85,533
2018-06-04 07:00:00,6.45,6.72,6.35,6.72,553
2018-06-05 07:00:00,6.72,6.72,6.72,6.72,100
2018-06-06 07:00:00,6.48,6.62,6.48,6.62,4700
2018-06-07 07:00:00,6.62,6.62,6.45,6.45,5300
2018-06-08 07:00:00,6.35,6.65,6.35,6.45,8889
2018-06-11 07:00:00,6.35,6.35,6.35,6.35,100
2018-06-12 07:00:00,6.35,6.45,6.32,6.32,1400
2018-06-13 07:00:00,6.29,6.32,6.29,6.29,1000
2018-06-14 07:00:00,6.58,6.58,6.35,6.35,4036
2018-06-15 07:00:00,6.45,6.45,6.45,6.45,300
2018-06-18 07:00:00,6.45,6.62,6.45,6.62,300
2018-06-19 07:00:00,6.45,6.45,6.45,6.45,4600
2018-06-20 07:00:00,6.22,6.45,6.22,6.45,1850
2018-06-21 07:00:00,6.45,6.45,6.45,6.45,200
2018-06-22 07:00:00,6.45,6.45,6.45,6.45,100
2018-06-25 07:00:00,6.45,6.48,6.45,6.48,900
2018-06-26 07:00:00,6.55,6.55,6.52,6.55,1600
2018-06-27 07:00:00,6.55,6.58,6.52,6.52,1500
2018-06-28 07:00:00,6.55,6.55,6.52,6.52,1300
2018-07-02 07:00:00,6.52,6.52,6.48,6.48,350
2018-07-03 07:00:00,6.29,6.29,6.29,6.29,200
2018-07-04 07:00:00,6.29,6.29,6.29,6.29,2000
2018-07-05 07:00:00,6.19,6.19,6.09,6.12,300
2018-07-09 07:00:00,6.29,6.29,6.29,6.29,1000
2018-07-10 07:00:00,6.29,6.32,6.22,6.22,2000
2018-07-12 07:00:00,5.99,5.99,5.99,5.99,100
2018-07-13 07:00:00,6.72,6.72,6.72,6.72,100
2018-07-16 07:00:00,6.29,6.29,6.29,6.29,400
2018-07-17 07:00:00,6.29,6.29,6.29,6.29,260
2018-07-18 07:00:00,6.29,6.29,6.29,6.29,8
2018-07-23 07:00:00,6.02,6.58,5.96,6.58,700
2018-07-24 07:00:00,6.22,6.22,6.22,6.22,700
2018-07-25 07:00:00,6.29,6.29,6.29,6.29,1000
2018-07-26 07:00:00,6.29,6.29,6.29,6.29,1500
2018-07-27 07:00:00,6.29,6.29,6.29,6.29,100
2018-07-30 07:00:00,6.32,6.32,6.25,6.29,3300
2018-07-31 07:00:00,6.29,6.29,6.29,6.29,400
2018-08-01 07:00:00,6.35,6.35,6.35,6.35,900
2018-08-03 07:00:00,6.35,6.35,6.35,6.35,800
