time,open,high,low,close,volume
2018-11-12 07:00:00,7.47,7.47,7.47,7.47,147670
2018-11-13 07:00:00,7.99,7.99,7.99,7.99,256400
2018-11-14 07:00:00,8.02,8.42,7.67,8.07,332170
2018-11-15 07:00:00,7.65,8.18,7.65,8.13,214090
2018-11-16 07:00:00,7.89,8.29,7.89,8.13,274160
2018-11-19 07:00:00,8.07,8.15,7.83,8.15,241150
2018-11-20 07:00:00,8.15,8.15,7.89,7.89,130070
2018-11-21 07:00:00,7.89,7.91,7.75,7.75,119290
2018-11-22 07:00:00,7.94,7.94,7.51,7.89,192500
2018-11-23 07:00:00,7.89,7.97,7.75,7.78,152850
2018-11-26 07:00:00,7.98,8.07,7.89,8.02,209270
2018-11-27 07:00:00,8.02,8.07,7.94,8.07,265630
2018-11-28 07:00:00,8.02,8.11,7.94,8.07,457020
2018-11-29 07:00:00,8.02,8.1,7.95,8.07,322000
2018-11-30 07:00:00,8.56,8.56,8.11,8.11,116870
2018-12-03 07:00:00,8.11,8.28,8.11,8.17,193120
2018-12-04 07:00:00,7.91,7.99,7.75,7.85,177060
2018-12-05 07:00:00,7.75,7.82,7.59,7.69,230920
2018-12-06 07:00:00,7.59,7.91,7.59,7.91,238730
2018-12-07 07:00:00,7.69,7.94,7.59,7.82,137610
2018-12-10 07:00:00,7.67,7.83,7.56,7.65,96290
2018-12-11 07:00:00,7.65,7.72,7.53,7.65,87890
2018-12-12 07:00:00,7.64,7.7,7.56,7.67,100300
2018-12-13 07:00:00,7.62,7.69,7.53,7.59,82280
2018-12-14 07:00:00,7.57,7.57,7.43,7.43,34080
2018-12-17 07:00:00,7.43,7.46,7.32,7.4,12810
2018-12-18 07:00:00,6.91,7.38,6.91,6.91,17080
2018-12-19 07:00:00,7.11,7.11,6.78,6.91,13640
2018-12-20 07:00:00,7.07,7.07,6.52,6.94,9800
2018-12-21 07:00:00,7.01,7.43,6.69,7.43,199450
2018-12-24 07:00:00,7.91,7.91,7.43,7.72,34740
2018-12-25 07:00:00,7.72,7.72,7.43,7.64,23060
2018-12-26 07:00:00,7.43,7.75,7.43,7.53,16140
2018-12-27 07:00:00,7.65,7.65,7.54,7.54,128010
2018-12-28 07:00:00,7.59,7.75,7.43,7.43,22110
2019-01-02 07:00:00,7.59,7.59,7.36,7.46,19450
2019-01-03 07:00:00,7.49,7.51,6.98,7.43,196230
2019-01-04 07:00:00,7.43,7.43,7.4,7.4,350
2019-01-07 07:00:00,7.48,7.48,7.14,7.4,12580
2019-01-08 07:00:00,7.4,7.4,7.15,7.15,2180
2019-01-09 07:00:00,7.15,7.4,7.15,7.2,18260
2019-01-10 07:00:00,7.27,7.27,7.11,7.11,14950
2019-01-11 07:00:00,7.23,7.25,7.11,7.23,26220
2019-01-14 07:00:00,7.11,7.43,7.11,7.17,9800
2019-01-15 07:00:00,7.2,7.4,7.06,7.06,73360
2019-01-16 07:00:00,7.19,7.3,7.06,7.27,10840
2019-01-17 07:00:00,7.23,7.36,7.07,7.28,7410
2019-01-18 07:00:00,7.28,7.33,7.02,7.33,19880
2019-01-21 07:00:00,7.27,7.36,7.11,7.33,23410
2019-01-22 07:00:00,7.3,7.35,7.2,7.3,2490
2019-01-23 07:00:00,7.32,7.35,7.27,7.33,15780
2019-01-24 07:00:00,7.36,7.36,7.27,7.27,10060
2019-01-25 07:00:00,7.27,7.75,7.27,7.33,55230
2019-01-28 07:00:00,7.75,7.75,7.4,7.48,68180
2019-01-29 07:00:00,7.59,7.59,7.15,7.15,30440
2019-01-30 07:00:00,7.36,7.36,7.17,7.3,12610
2019-01-31 07:00:00,7.3,7.43,7.15,7.3,18090
