time,open,high,low,close,volume
2018-11-30 07:00:00,12.09,12.09,12.09,12.09,40000
2018-12-03 07:00:00,12.93,12.93,12.93,12.93,5000
2018-12-04 07:00:00,13.84,13.84,13.84,13.84,5010
2018-12-05 07:00:00,14.78,14.78,14.78,14.78,6010
2018-12-06 07:00:00,15.78,15.78,15.75,15.78,873940
2018-12-07 07:00:00,16.75,16.88,16.52,16.52,538490
2018-12-10 07:00:00,16.52,16.72,16.17,16.17,287480
2018-12-11 07:00:00,15.04,15.04,15.04,15.04,107180
2018-12-12 07:00:00,14.0,14.0,14.0,14.0,167420
2018-12-13 07:00:00,13.03,14.03,13.03,14.03,737670
2018-12-14 07:00:00,13.58,13.74,13.1,13.16,243280
2018-12-17 07:00:00,12.93,13.23,12.93,13.23,362200
2018-12-18 07:00:00,13.06,13.13,13.0,13.13,72290
2018-12-19 07:00:00,13.13,13.13,12.9,13.0,130760
2018-12-20 07:00:00,12.97,13.03,12.87,13.03,76100
2018-12-21 07:00:00,13.03,13.1,12.55,13.1,151320
2018-12-24 07:00:00,12.93,13.1,12.93,13.1,106900
2018-12-25 07:00:00,13.03,13.03,12.87,12.93,92760
2018-12-26 07:00:00,12.93,13.23,12.93,13.23,155870
2018-12-27 07:00:00,13.19,13.29,13.19,13.19,90770
2018-12-28 07:00:00,13.19,14.03,13.1,14.0,528250
2019-01-02 07:00:00,14.0,14.45,14.0,14.45,359700
2019-01-03 07:00:00,14.45,14.68,13.84,13.84,494820
2019-01-04 07:00:00,12.9,13.13,12.9,12.9,356920
2019-01-07 07:00:00,12.9,13.0,12.74,13.0,175560
2019-01-08 07:00:00,13.0,13.0,12.87,12.97,71340
2019-01-09 07:00:00,12.93,13.0,12.87,13.0,95960
2019-01-10 07:00:00,13.0,13.0,12.84,12.93,116970
2019-01-11 07:00:00,12.93,12.97,12.87,12.97,91830
2019-01-14 07:00:00,12.97,13.0,12.9,13.0,79970
2019-01-15 07:00:00,13.0,13.0,12.93,12.93,92630
2019-01-16 07:00:00,12.93,13.0,12.93,12.97,113690
2019-01-17 07:00:00,12.93,13.06,12.93,13.0,108310
2019-01-18 07:00:00,13.0,13.0,12.93,12.93,87600
2019-01-21 07:00:00,12.93,13.0,12.93,13.0,81960
2019-01-22 07:00:00,13.0,13.0,12.9,12.93,91060
2019-01-23 07:00:00,12.97,13.0,12.93,12.93,74450
2019-01-24 07:00:00,12.93,12.97,12.93,12.97,97190
2019-01-25 07:00:00,12.97,13.03,12.93,12.93,96640
