time,open,high,low,close,volume
2018-01-02 07:00:00,22.35,24.48,22.3,24.27,1536453
2018-01-03 07:00:00,24.27,25.15,22.97,23.85,2153279
2018-01-04 07:00:00,23.59,24.73,23.54,24.32,1397180
2018-01-05 07:00:00,24.11,25.15,23.85,24.84,1335299
2018-01-08 07:00:00,24.79,26.45,24.73,26.39,1695283
2018-01-09 07:00:00,26.39,27.12,25.98,26.45,1597691
2018-01-10 07:00:00,26.7,26.7,25.25,25.56,1861371
2018-01-11 07:00:00,25.56,26.45,24.89,26.29,1322935
2018-01-12 07:00:00,26.39,27.48,26.19,26.6,1021552
2018-01-15 07:00:00,26.45,26.96,26.45,26.96,951914
2018-01-16 07:00:00,26.96,27.43,26.76,27.28,1154825
2018-01-17 07:00:00,27.22,28.21,27.22,27.48,1733229
2018-01-18 07:00:00,27.74,27.74,26.39,27.38,1590981
2018-01-19 07:00:00,27.22,30.59,27.17,29.4,2350353
2018-01-22 07:00:00,29.14,33.03,29.04,33.03,3011445
2018-01-23 07:00:00,33.45,36.3,33.03,34.9,2455609
2018-01-24 07:00:00,34.9,35.26,32.93,33.29,2076432
2018-01-25 07:00:00,33.55,34.85,32.62,32.98,2344305
2018-01-26 07:00:00,33.03,33.71,31.89,32.15,2179883
2018-01-29 07:00:00,30.85,33.19,30.59,31.63,1507535
2018-01-30 07:00:00,31.11,31.73,30.33,30.59,2202371
2018-01-31 07:00:00,30.59,30.85,27.74,27.9,3097150
2018-02-01 07:00:00,27.9,29.04,25.67,26.55,2430906
2018-02-02 07:00:00,27.01,27.79,25.92,27.63,2551448
2018-02-05 07:00:00,27.63,27.89,25.45,25.92,2133156
2018-02-06 07:00:00,25.71,25.71,22.96,23.63,2770837
2018-02-07 07:00:00,23.89,26.49,23.89,26.23,2381296
2018-02-08 07:00:00,25.92,26.96,23.95,24.21,1412300
2018-02-09 07:00:00,23.37,24.15,21.19,24.15,1433769
2018-02-12 07:00:00,23.89,25.97,23.89,25.92,727541
2018-02-13 07:00:00,25.92,27.53,25.92,27.53,1390941
2018-02-21 07:00:00,28.05,28.88,27.53,28.52,1113547
2018-02-22 07:00:00,28.62,28.62,26.65,27.01,1253519
2018-02-23 07:00:00,27.01,27.89,26.75,27.48,1074223
2018-02-26 07:00:00,27.53,28.31,27.22,27.43,1126366
2018-02-27 07:00:00,27.63,30.13,27.37,29.92,3664154
2018-02-28 07:00:00,30.13,30.54,29.35,30.02,1581591
2018-03-01 07:00:00,30.02,30.49,29.55,29.87,1373626
2018-03-02 07:00:00,29.71,29.71,28.67,29.66,1308865
