time,open,high,low,close,volume
2018-01-02 07:00:00,3.88,3.88,3.88,3.88,100
2018-01-03 07:00:00,3.71,3.82,3.71,3.82,4100
2018-01-04 07:00:00,3.71,3.82,3.55,3.82,24222
2018-01-05 07:00:00,3.66,3.82,3.49,3.82,28537
2018-01-08 07:00:00,3.77,3.82,3.77,3.82,21180
2018-01-09 07:00:00,3.6,3.77,3.6,3.77,3188
2018-01-11 07:00:00,3.6,3.71,3.6,3.71,3984
2018-01-12 07:00:00,3.6,3.66,3.6,3.6,14536
2018-01-15 07:00:00,3.6,3.66,3.55,3.66,14400
2018-01-16 07:00:00,3.66,3.77,3.49,3.66,24325
2018-01-17 07:00:00,3.55,3.66,3.55,3.66,19100
2018-01-18 07:00:00,3.66,3.66,3.66,3.66,76
2018-01-19 07:00:00,3.55,3.6,3.55,3.6,1200
2018-01-22 07:00:00,3.55,3.71,3.55,3.71,13670
2018-01-23 07:00:00,3.71,3.71,3.44,3.71,10194
2018-01-24 07:00:00,3.71,3.71,3.71,3.71,300
2018-01-25 07:00:00,3.49,3.71,3.49,3.71,3742
2018-01-26 07:00:00,3.55,3.66,3.55,3.66,1140
2018-01-29 07:00:00,3.55,3.66,3.55,3.66,3560
2018-01-30 07:00:00,3.66,3.66,3.66,3.66,10080
2018-01-31 07:00:00,3.66,3.71,3.66,3.71,15200
2018-02-01 07:00:00,3.44,3.66,3.44,3.66,1000
2018-02-02 07:00:00,3.44,3.66,3.44,3.66,440
2018-02-05 07:00:00,3.66,3.66,3.44,3.44,8100
2018-02-06 07:00:00,3.16,3.55,3.16,3.55,2800
2018-02-07 07:00:00,3.55,3.55,3.55,3.55,900
2018-02-08 07:00:00,3.21,3.49,3.21,3.49,4140
2018-02-09 07:00:00,3.49,3.49,3.27,3.44,27700
2018-02-12 07:00:00,3.44,3.44,3.44,3.44,5000
2018-02-13 07:00:00,3.44,3.44,3.38,3.44,1100
2018-02-21 07:00:00,3.44,3.44,3.44,3.44,5300
2018-02-22 07:00:00,3.38,3.49,3.38,3.38,18372
2018-02-23 07:00:00,3.38,3.44,3.38,3.38,7200
2018-02-26 07:00:00,3.38,3.38,3.38,3.38,14000
2018-02-27 07:00:00,3.21,3.55,3.05,3.55,5218
2018-02-28 07:00:00,3.32,3.6,3.32,3.6,9314
2018-03-01 07:00:00,3.55,3.66,3.55,3.66,2120
2018-03-02 07:00:00,3.38,3.99,3.38,3.88,13120
2018-03-05 07:00:00,3.88,3.88,3.88,3.88,30
2018-03-06 07:00:00,3.77,3.77,3.71,3.71,1282
2018-03-07 07:00:00,3.71,3.71,3.6,3.66,1000
2018-03-08 07:00:00,3.55,3.66,3.55,3.6,5400
2018-03-09 07:00:00,3.38,3.6,3.38,3.6,10140
2018-03-12 07:00:00,3.6,3.6,3.6,3.6,15500
2018-03-13 07:00:00,3.49,3.49,3.49,3.49,9801
2018-03-14 07:00:00,3.49,3.49,3.38,3.49,5800
2018-03-15 07:00:00,3.38,3.49,3.32,3.49,18700
2018-03-16 07:00:00,3.32,3.38,3.32,3.32,10550
2018-03-19 07:00:00,3.38,3.38,3.38,3.38,5726
2018-03-20 07:00:00,3.38,3.55,3.38,3.38,8900
2018-03-21 07:00:00,3.44,3.49,3.38,3.49,14900
2018-03-22 07:00:00,3.38,3.55,3.38,3.55,710
2018-03-23 07:00:00,3.44,3.44,3.44,3.44,5000
2018-03-26 07:00:00,3.44,3.49,3.44,3.49,4000
2018-03-27 07:00:00,3.49,3.49,3.38,3.38,25528
2018-03-28 07:00:00,3.38,3.49,3.38,3.49,6100
2018-03-29 07:00:00,3.38,3.38,3.38,3.38,13170
2018-03-30 07:00:00,3.38,3.38,3.38,3.38,29100
2018-04-02 07:00:00,3.38,3.55,3.38,3.49,20000
2018-04-03 07:00:00,3.49,3.49,3.44,3.49,3200
2018-04-04 07:00:00,3.49,3.49,3.44,3.44,5270
2018-04-05 07:00:00,3.44,3.44,3.44,3.44,1820
2018-04-06 07:00:00,3.44,3.44,3.32,3.44,7100
2018-04-09 07:00:00,3.44,3.49,3.32,3.49,17670
2018-04-10 07:00:00,3.38,3.38,3.27,3.38,1960
2018-04-11 07:00:00,3.32,3.38,3.32,3.32,5700
2018-04-12 07:00:00,3.32,3.38,3.32,3.38,8900
2018-04-13 07:00:00,3.38,3.44,3.38,3.38,16100
2018-04-16 07:00:00,3.38,3.49,3.38,3.49,44200
2018-04-17 07:00:00,3.49,3.66,3.49,3.55,42300
2018-04-18 07:00:00,3.55,3.6,3.44,3.6,15800
2018-04-19 07:00:00,3.55,3.6,3.55,3.55,4100
2018-04-20 07:00:00,3.55,3.55,3.49,3.55,400
2018-04-23 07:00:00,3.49,3.49,3.49,3.49,4200
2018-04-24 07:00:00,3.49,3.55,3.44,3.55,6800
2018-04-26 07:00:00,3.49,3.49,3.44,3.44,4000
2018-04-27 07:00:00,3.44,3.49,3.44,3.44,28800
2018-05-02 07:00:00,3.44,3.49,3.44,3.44,41056
2018-05-03 07:00:00,3.44,3.49,3.44,3.44,38980
2018-05-04 07:00:00,3.44,3.55,3.44,3.55,44268
2018-05-07 07:00:00,3.49,3.55,3.49,3.55,15800
2018-05-08 07:00:00,3.49,3.66,3.49,3.6,29700
2018-05-09 07:00:00,3.6,3.6,3.49,3.6,48900
2018-05-10 07:00:00,3.49,3.55,3.49,3.55,27520
2018-05-11 07:00:00,3.55,3.88,3.44,3.88,52988
2018-05-14 07:00:00,3.88,3.88,3.77,3.82,4956
2018-05-15 07:00:00,3.82,3.88,3.71,3.82,43500
2018-05-17 07:00:00,3.77,3.82,3.66,3.82,33570
2018-05-18 07:00:00,3.66,3.88,3.6,3.88,58000
2018-05-21 07:00:00,3.71,3.82,3.71,3.82,43600
2018-05-22 07:00:00,3.6,3.82,3.6,3.82,57000
2018-05-23 07:00:00,3.71,3.77,3.71,3.77,14600
