time,open,high,low,close,volume
2018-01-02 07:00:00,13.88,14.13,13.88,13.88,77120
2018-01-03 07:00:00,14.05,14.05,13.8,13.86,51700
2018-01-04 07:00:00,13.9,13.9,13.75,13.85,5900
2018-01-05 07:00:00,13.85,13.85,13.7,13.85,2400
2018-01-08 07:00:00,14.44,14.44,13.85,13.85,63600
2018-01-09 07:00:00,13.85,13.85,13.6,13.6,15800
2018-01-10 07:00:00,13.55,13.7,13.55,13.7,2800
2018-01-11 07:00:00,13.7,13.7,13.5,13.6,14600
2018-01-12 07:00:00,13.7,13.7,13.5,13.5,22700
2018-01-15 07:00:00,13.5,13.65,13.4,13.65,34800
2018-01-16 07:00:00,13.45,13.7,13.35,13.35,43500
2018-01-17 07:00:00,13.35,13.45,12.9,12.9,136120
2018-01-18 07:00:00,12.95,12.95,12.5,12.6,64510
2018-01-19 07:00:00,12.7,12.7,12.45,12.45,64900
2018-01-22 07:00:00,12.6,12.75,12.4,12.45,176800
2018-01-23 07:00:00,13.95,13.95,12.2,12.2,185400
2018-01-24 07:00:00,12.9,13.1,12.84,12.95,241430
2018-01-25 07:00:00,13.1,13.37,12.84,13.1,432100
2018-01-26 07:00:00,13.1,14.1,13.1,13.79,113119
2018-01-29 07:00:00,13.84,13.84,13.57,13.62,153700
2018-01-30 07:00:00,13.57,13.68,13.46,13.52,137821
2018-01-31 07:00:00,13.57,13.57,13.41,13.41,94300
2018-02-01 07:00:00,13.35,13.46,12.87,12.98,283530
2018-02-02 07:00:00,12.7,12.98,12.6,12.98,18410
2018-02-05 07:00:00,12.98,12.98,12.6,12.6,225600
2018-02-06 07:00:00,12.43,12.43,11.89,12.43,101300
2018-02-07 07:00:00,12.43,12.49,12.33,12.33,291900
2018-02-08 07:00:00,12.33,12.43,12.33,12.33,367700
2018-02-09 07:00:00,12.16,12.16,11.35,12.0,207300
2018-02-12 07:00:00,12.0,12.98,11.89,12.98,61400
2018-02-13 07:00:00,12.43,12.98,12.43,12.98,52600
2018-02-21 07:00:00,12.98,13.24,12.98,12.98,28300
2018-02-22 07:00:00,12.98,13.14,12.98,12.98,61310
2018-02-23 07:00:00,12.6,13.03,12.6,12.76,41800
2018-02-26 07:00:00,12.7,13.52,12.7,13.46,88600
2018-02-27 07:00:00,13.19,14.06,13.19,13.84,66600
2018-02-28 07:00:00,13.68,13.73,13.24,13.46,57000
2018-03-01 07:00:00,13.52,13.52,13.35,13.52,18200
2018-03-02 07:00:00,12.87,13.41,12.87,13.41,10100
2018-03-05 07:00:00,12.97,13.24,12.97,13.02,35700
2018-03-06 07:00:00,13.02,13.52,13.02,13.24,20000
2018-03-07 07:00:00,13.41,13.41,13.02,13.13,39800
2018-03-08 07:00:00,13.35,13.41,13.13,13.41,36000
2018-03-09 07:00:00,13.68,14.5,13.46,14.12,30700
2018-03-12 07:00:00,13.63,13.84,13.63,13.79,20200
2018-03-13 07:00:00,13.68,13.68,12.97,12.97,600
2018-03-14 07:00:00,13.19,13.19,13.13,13.13,28900
2018-03-15 07:00:00,13.13,13.13,13.13,13.13,11500
2018-03-16 07:00:00,13.63,13.63,13.13,13.24,17300
2018-03-19 07:00:00,13.57,13.68,13.19,13.57,62900
2018-03-20 07:00:00,15.32,15.32,13.3,13.3,10700
2018-03-21 07:00:00,14.17,14.17,14.17,14.17,100
2018-03-22 07:00:00,13.19,13.9,13.19,13.35,12400
2018-03-23 07:00:00,13.02,13.68,13.02,13.63,87100
2018-03-26 07:00:00,13.41,13.46,13.41,13.41,1300
2018-03-27 07:00:00,13.41,13.46,13.41,13.46,6300
2018-03-28 07:00:00,13.57,13.68,13.46,13.68,35200
2018-03-29 07:00:00,13.35,13.63,13.35,13.63,2600
2018-03-30 07:00:00,13.68,13.84,13.63,13.68,26300
2018-04-02 07:00:00,13.68,13.68,13.35,13.41,70700
2018-04-03 07:00:00,13.41,13.41,13.13,13.35,255300
2018-04-04 07:00:00,13.19,13.24,13.08,13.08,142800
2018-04-05 07:00:00,13.13,13.13,12.15,12.59,163300
2018-04-06 07:00:00,13.13,13.74,12.15,12.37,317500
2018-04-09 07:00:00,12.53,14.45,12.53,12.59,508300
2018-04-10 07:00:00,12.31,13.02,12.31,12.42,79400
2018-04-11 07:00:00,12.31,12.48,12.31,12.48,47900
2018-04-12 07:00:00,12.2,12.37,12.2,12.31,40500
2018-04-13 07:00:00,12.37,12.59,12.37,12.48,124700
2018-04-16 07:00:00,12.86,14.23,12.48,12.59,241900
2018-04-17 07:00:00,12.64,12.64,12.64,12.64,30000
2018-04-18 07:00:00,12.59,12.64,12.2,12.59,97900
2018-04-19 07:00:00,12.53,12.59,12.53,12.53,44500
2018-04-20 07:00:00,12.59,12.59,12.53,12.59,23200
2018-04-23 07:00:00,12.53,12.53,12.42,12.42,55000
2018-04-24 07:00:00,12.48,12.48,12.31,12.31,166500
2018-04-26 07:00:00,12.42,12.42,12.04,12.04,236900
2018-04-27 07:00:00,12.04,12.04,12.04,12.04,43000
2018-05-02 07:00:00,11.55,13.46,10.94,13.46,86100
2018-05-03 07:00:00,10.94,12.86,10.94,12.86,41100
2018-05-04 07:00:00,10.94,11.49,10.94,11.49,5000
2018-05-07 07:00:00,11.49,11.49,10.94,10.94,59200
2018-05-08 07:00:00,11.49,11.49,10.84,10.94,246200
2018-05-09 07:00:00,11.0,11.98,10.94,11.98,150000
2018-05-10 07:00:00,11.0,11.05,11.0,11.0,51715
2018-05-11 07:00:00,10.94,11.71,10.94,11.71,8000
2018-05-14 07:00:00,11.49,11.71,11.49,11.71,3200
2018-05-15 07:00:00,11.11,11.6,11.11,11.6,600
2018-05-16 07:00:00,11.16,11.49,10.94,11.49,59000
2018-05-17 07:00:00,11.38,11.38,11.38,11.38,510
2018-05-18 07:00:00,10.94,11.44,10.94,11.44,55100
2018-05-21 07:00:00,10.94,11.49,10.4,11.49,33100
2018-05-22 07:00:00,10.94,10.94,10.4,10.89,69000
2018-05-23 07:00:00,10.89,11.22,10.78,11.22,34400
2018-05-24 07:00:00,10.4,11.22,10.4,11.22,44900
2018-05-25 07:00:00,10.89,11.22,10.67,11.22,112700
2018-05-28 07:00:00,10.67,11.11,9.9,11.11,80500
2018-05-29 07:00:00,10.94,11.22,10.4,11.22,42700
2018-05-30 07:00:00,10.4,11.05,10.29,11.05,22100
2018-05-31 07:00:00,10.29,11.11,10.29,11.11,15500
