time,open,high,low,close,volume
2018-01-02 07:00:00,19.16,19.45,19.02,19.45,10700
2018-01-03 07:00:00,18.99,19.16,18.96,19.02,4500
2018-01-04 07:00:00,19.74,19.74,18.87,19.42,2600
2018-01-05 07:00:00,18.93,19.39,18.87,19.34,5750
2018-01-08 07:00:00,19.16,19.16,18.9,18.99,700
2018-01-09 07:00:00,19.02,19.31,18.87,19.31,5895
2018-01-10 07:00:00,19.31,19.31,18.87,18.9,8560
2018-01-11 07:00:00,19.31,19.31,18.58,18.96,5850
2018-01-12 07:00:00,18.81,19.31,18.81,19.16,7570
2018-01-15 07:00:00,19.16,19.89,19.07,19.89,17366
2018-01-16 07:00:00,19.86,20.03,19.77,19.94,16087
2018-01-17 07:00:00,19.8,20.29,19.74,19.74,12720
2018-01-18 07:00:00,20.29,20.29,19.74,19.74,2700
2018-01-19 07:00:00,20.15,20.47,20.15,20.47,8200
2018-01-22 07:00:00,20.7,20.7,20.03,20.61,9805
2018-01-23 07:00:00,20.56,20.9,20.56,20.61,19500
2018-01-24 07:00:00,20.47,20.7,20.18,20.7,1500
2018-01-25 07:00:00,21.77,21.77,20.21,20.87,1033
2018-01-26 07:00:00,20.26,20.87,20.18,20.87,3360
2018-01-29 07:00:00,20.32,20.87,18.87,19.16,58195
2018-01-30 07:00:00,19.16,19.16,17.71,18.81,8200
2018-01-31 07:00:00,19.02,20.61,18.29,20.61,13579
2018-02-01 07:00:00,18.61,19.16,18.55,18.55,17919
2018-02-02 07:00:00,18.87,18.87,17.77,18.55,2100
2018-02-05 07:00:00,18.14,18.52,17.71,18.52,4180
2018-02-06 07:00:00,17.57,18.26,16.69,17.94,51300
2018-02-07 07:00:00,18.41,18.41,17.42,17.94,10600
2018-02-08 07:00:00,18.41,18.41,17.71,17.71,6810
2018-02-09 07:00:00,16.84,17.68,16.84,17.68,1400
2018-02-12 07:00:00,17.71,17.86,17.13,17.86,4900
2018-02-13 07:00:00,18.29,18.87,17.88,18.12,7200
2018-02-21 07:00:00,19.45,19.89,17.86,19.1,1300
2018-02-22 07:00:00,18.29,19.1,18.29,19.07,7300
2018-02-23 07:00:00,18.44,19.13,18.14,18.29,6502
2018-02-26 07:00:00,18.29,18.87,18.29,18.87,3000
2018-02-27 07:00:00,19.74,19.74,18.44,18.44,7870
2018-02-28 07:00:00,18.73,19.31,18.58,19.31,10400
2018-03-01 07:00:00,19.74,19.74,18.0,18.0,5902
2018-03-02 07:00:00,17.83,18.44,17.83,18.29,4100
2018-03-05 07:00:00,18.29,18.87,17.91,18.87,6318
2018-03-06 07:00:00,17.97,18.55,17.88,18.55,8400
2018-03-07 07:00:00,17.94,18.0,17.91,17.94,12715
2018-03-08 07:00:00,18.0,18.0,17.88,17.88,6578
2018-03-09 07:00:00,17.83,18.0,17.8,17.88,10900
2018-03-12 07:00:00,17.86,18.14,17.86,18.14,13925
