time,open,high,low,close,volume
2018-01-02 07:00:00,6.82,6.92,6.8,6.92,41660
2018-01-03 07:00:00,6.97,7.26,6.92,7.02,34720
2018-01-04 07:00:00,7.02,7.24,7.02,7.14,45400
2018-01-05 07:00:00,7.14,7.16,6.92,6.92,57190
2018-01-08 07:00:00,6.94,6.99,6.92,6.94,22560
2018-01-09 07:00:00,6.94,6.97,6.75,6.75,136780
2018-01-10 07:00:00,6.77,6.77,6.63,6.75,83340
2018-01-11 07:00:00,6.68,6.72,6.58,6.7,79310
2018-01-12 07:00:00,6.6,6.7,6.48,6.6,28050
2018-01-15 07:00:00,6.6,6.6,6.23,6.31,94320
2018-01-16 07:00:00,6.38,6.5,6.28,6.38,54470
2018-01-17 07:00:00,6.38,6.65,6.38,6.38,29600
2018-01-18 07:00:00,6.28,6.43,6.28,6.31,15720
2018-01-19 07:00:00,6.31,6.4,6.26,6.26,16940
2018-01-22 07:00:00,6.26,6.63,6.26,6.33,21100
2018-01-25 07:00:00,6.33,6.58,6.33,6.53,96050
2018-01-26 07:00:00,6.53,6.55,6.43,6.48,20570
2018-01-29 07:00:00,6.48,6.63,6.38,6.45,76990
2018-01-30 07:00:00,6.31,6.33,6.14,6.33,91200
2018-01-31 07:00:00,6.28,6.38,6.09,6.33,61440
2018-02-01 07:00:00,6.33,6.33,6.18,6.18,1650
2018-02-02 07:00:00,6.14,6.33,6.09,6.18,47270
2018-02-05 07:00:00,6.04,6.23,6.01,6.01,32200
2018-02-06 07:00:00,5.89,6.14,5.6,6.09,46460
2018-02-07 07:00:00,6.14,6.14,5.79,6.04,18010
2018-02-08 07:00:00,5.89,6.26,5.86,5.86,26250
2018-02-09 07:00:00,5.84,5.94,5.74,5.89,16360
2018-02-12 07:00:00,5.89,6.06,5.74,6.06,8620
2018-02-13 07:00:00,6.06,6.38,5.89,5.89,1400
2018-02-21 07:00:00,5.89,6.14,5.89,6.14,3770
2018-02-22 07:00:00,6.23,6.23,5.89,6.11,17220
2018-02-23 07:00:00,6.11,6.11,5.89,5.89,22920
2018-02-26 07:00:00,5.91,6.04,5.89,6.04,3060
2018-02-27 07:00:00,5.94,5.94,5.62,5.84,726370
2018-02-28 07:00:00,5.69,5.89,5.69,5.84,18910
2018-03-01 07:00:00,5.69,5.84,5.64,5.79,15480
2018-03-02 07:00:00,5.79,5.79,5.6,5.69,13660
2018-03-05 07:00:00,5.55,5.69,5.55,5.55,36730
2018-03-06 07:00:00,5.5,5.55,5.45,5.52,69350
2018-03-07 07:00:00,5.47,5.52,5.45,5.52,61510
2018-03-08 07:00:00,5.5,5.52,5.45,5.5,11630
2018-03-09 07:00:00,5.5,5.62,5.47,5.5,17480
2018-03-12 07:00:00,5.45,5.57,5.45,5.5,25530
2018-03-13 07:00:00,5.5,5.55,5.45,5.52,28060
2018-03-14 07:00:00,5.52,5.52,5.42,5.5,22110
2018-03-15 07:00:00,5.45,5.5,5.37,5.45,49270
2018-03-16 07:00:00,5.45,5.45,5.15,5.28,18630
2018-03-19 07:00:00,5.32,5.32,5.13,5.15,19210
2018-03-20 07:00:00,5.25,5.25,5.08,5.08,13350
2018-03-21 07:00:00,5.03,5.08,5.03,5.08,9330
2018-03-22 07:00:00,5.03,5.06,4.98,5.01,9740
2018-03-23 07:00:00,4.93,5.15,4.91,4.96,129500
2018-03-26 07:00:00,4.96,4.96,4.76,4.81,86830
2018-03-27 07:00:00,4.81,4.91,4.76,4.84,18370
2018-03-28 07:00:00,4.86,5.18,4.86,5.18,75400
2018-03-29 07:00:00,5.5,5.52,5.4,5.52,113350
2018-03-30 07:00:00,5.6,5.89,5.55,5.79,193960
2018-04-02 07:00:00,5.69,5.82,5.55,5.55,48510
2018-04-03 07:00:00,5.55,5.55,5.28,5.37,54610
2018-04-04 07:00:00,5.5,5.6,5.37,5.55,48520
2018-04-05 07:00:00,5.5,5.57,5.5,5.55,48510
2018-04-06 07:00:00,5.55,5.55,5.35,5.35,21780
2018-04-09 07:00:00,5.32,5.35,5.13,5.13,40600
2018-04-10 07:00:00,5.13,5.2,4.91,5.01,68130
2018-04-11 07:00:00,4.91,5.1,4.9,4.96,28370
2018-04-12 07:00:00,4.91,5.3,4.91,5.28,26410
2018-04-13 07:00:00,5.28,5.3,5.15,5.15,8400
2018-04-16 07:00:00,5.01,5.01,4.86,4.91,108730
2018-04-17 07:00:00,4.91,5.13,4.91,5.13,42760
2018-04-18 07:00:00,4.93,4.98,4.93,4.96,8950
2018-04-19 07:00:00,4.91,4.96,4.86,4.86,23520
2018-04-20 07:00:00,4.86,5.01,4.86,4.96,19380
2018-04-23 07:00:00,4.91,5.03,4.86,5.01,40640
2018-04-24 07:00:00,4.91,4.98,4.86,4.98,12260
2018-04-26 07:00:00,4.87,5.01,4.87,4.91,25110
2018-04-27 07:00:00,4.96,5.1,4.96,5.08,14810
2018-05-02 07:00:00,5.08,5.08,5.01,5.01,22600
2018-05-03 07:00:00,5.01,5.2,4.96,5.03,97190
2018-05-04 07:00:00,5.15,5.25,5.03,5.25,41750
2018-05-07 07:00:00,5.15,5.25,5.15,5.25,22600
2018-05-08 07:00:00,5.25,5.25,4.91,5.23,156650
2018-05-09 07:00:00,5.01,5.37,5.01,5.23,16790
2018-05-10 07:00:00,5.25,5.35,5.1,5.1,8430
2018-05-11 07:00:00,5.1,5.25,5.1,5.18,9560
2018-05-14 07:00:00,5.18,5.32,5.18,5.2,19450
2018-05-15 07:00:00,5.32,5.55,5.23,5.55,126510
2018-05-16 07:00:00,5.74,5.77,5.4,5.6,58420
2018-05-17 07:00:00,5.74,5.74,5.55,5.6,42490
2018-05-18 07:00:00,5.57,5.74,5.45,5.6,40340
2018-05-21 07:00:00,5.6,5.84,5.55,5.67,129270
2018-05-22 07:00:00,5.69,5.69,5.4,5.52,81730
2018-05-23 07:00:00,5.55,5.55,5.4,5.52,27870
2018-05-24 07:00:00,5.62,5.62,5.47,5.55,54710
2018-05-25 07:00:00,5.74,5.74,5.47,5.74,174320
2018-05-28 07:00:00,5.74,6.14,5.69,5.99,214710
2018-05-29 07:00:00,6.14,6.18,5.99,6.18,131420
2018-05-30 07:00:00,6.28,6.6,6.16,6.6,234960
2018-05-31 07:00:00,6.82,6.82,6.33,6.53,173930
2018-06-01 07:00:00,6.53,6.53,6.09,6.09,201270
2018-06-04 07:00:00,5.99,6.48,5.99,6.43,68570
2018-06-05 07:00:00,6.6,6.72,6.45,6.58,129210
2018-06-06 07:00:00,6.68,6.68,6.28,6.43,75940
2018-06-07 07:00:00,6.58,6.58,6.33,6.43,69480
2018-06-08 07:00:00,6.43,6.43,6.33,6.36,26490
2018-06-11 07:00:00,6.33,6.72,6.33,6.7,285860
2018-06-12 07:00:00,6.72,6.72,6.45,6.48,121900
2018-06-13 07:00:00,6.55,6.58,6.38,6.4,35470
2018-06-14 07:00:00,6.43,6.82,6.43,6.63,228050
2018-06-15 07:00:00,6.68,6.7,6.58,6.58,81000
2018-06-18 07:00:00,6.58,6.63,6.38,6.38,91260
2018-06-19 07:00:00,6.16,6.23,5.94,5.94,212400
2018-06-20 07:00:00,6.14,6.33,5.84,6.23,43690
2018-06-21 07:00:00,6.28,6.28,5.94,5.94,23220
2018-06-22 07:00:00,5.94,6.23,5.94,6.09,25570
2018-06-25 07:00:00,6.23,6.23,6.04,6.04,32150
2018-06-26 07:00:00,6.04,6.14,5.99,6.04,43550
2018-06-27 07:00:00,6.14,6.14,5.94,5.94,38160
2018-06-28 07:00:00,5.99,6.09,5.89,5.99,63070
2018-06-29 07:00:00,5.99,6.04,5.79,5.99,65410
2018-07-02 07:00:00,5.84,5.99,5.79,5.79,66770
2018-07-03 07:00:00,5.72,5.96,5.72,5.74,42830
2018-07-04 07:00:00,5.91,5.91,5.69,5.74,27460
2018-07-05 07:00:00,5.86,5.86,5.74,5.74,111290
2018-07-06 07:00:00,5.86,5.86,5.72,5.84,69110
2018-07-09 07:00:00,5.79,6.11,5.79,5.89,10690
2018-07-10 07:00:00,5.89,5.89,5.84,5.84,6140
2018-07-11 07:00:00,5.84,5.84,5.67,5.77,46830
2018-07-12 07:00:00,5.86,5.94,5.79,5.79,27910
2018-07-13 07:00:00,5.89,5.94,5.79,5.82,40420
2018-07-16 07:00:00,5.99,5.99,5.74,5.84,12030
2018-07-17 07:00:00,5.94,5.94,5.79,5.82,8870
2018-07-18 07:00:00,5.82,5.94,5.64,5.86,58890
2018-07-19 07:00:00,5.86,5.94,5.84,5.86,57230
2018-07-20 07:00:00,6.01,6.01,5.86,5.89,31750
2018-07-23 07:00:00,5.99,6.14,5.86,5.89,24660
2018-07-24 07:00:00,5.89,5.89,5.84,5.84,48840
2018-07-25 07:00:00,5.84,5.89,5.84,5.84,16650
2018-07-26 07:00:00,5.99,6.11,5.82,5.82,40740
2018-07-27 07:00:00,5.82,5.86,5.82,5.86,18020
2018-07-30 07:00:00,6.04,6.04,5.82,5.82,8150
2018-07-31 07:00:00,5.82,5.82,5.45,5.55,84900
2018-08-01 07:00:00,5.64,5.64,5.45,5.47,24390
2018-08-02 07:00:00,5.47,5.62,5.45,5.52,28910
2018-08-03 07:00:00,5.52,5.64,5.5,5.64,48270
2018-08-06 07:00:00,5.64,5.67,5.6,5.6,16190
2018-08-07 07:00:00,5.69,5.69,5.42,5.6,32150
2018-08-08 07:00:00,5.6,5.67,5.6,5.67,18560
2018-08-09 07:00:00,5.62,5.77,5.62,5.69,25930
2018-08-10 07:00:00,5.67,6.09,5.67,5.82,31750
2018-08-13 07:00:00,5.84,5.99,5.84,5.84,4190
2018-08-14 07:00:00,5.89,5.89,5.82,5.84,20380
2018-08-15 07:00:00,5.84,5.84,5.82,5.82,40990
2018-08-16 07:00:00,5.84,5.89,5.69,5.69,37350
2018-08-17 07:00:00,5.82,5.82,5.69,5.69,15500
2018-08-20 07:00:00,5.74,5.79,5.74,5.77,2760
2018-08-21 07:00:00,5.77,5.77,5.64,5.74,23840
2018-08-22 07:00:00,5.72,5.72,5.64,5.64,46110
2018-08-23 07:00:00,5.64,5.86,5.64,5.69,11210
2018-08-24 07:00:00,5.69,5.82,5.69,5.79,7600
2018-08-27 07:00:00,5.79,5.79,5.69,5.69,9420
2018-08-28 07:00:00,5.74,5.79,5.72,5.79,3990
2018-08-29 07:00:00,5.79,5.79,5.74,5.77,13730
2018-08-30 07:00:00,5.84,5.84,5.77,5.79,14780
2018-08-31 07:00:00,5.79,5.79,5.77,5.77,11240
2018-09-04 07:00:00,5.99,6.16,5.86,6.09,82820
2018-09-05 07:00:00,6.09,6.11,5.77,5.77,45760
2018-09-06 07:00:00,5.86,6.01,5.79,5.89,11050
2018-09-07 07:00:00,5.89,5.89,5.67,5.89,14370
2018-09-10 07:00:00,5.74,5.86,5.74,5.86,470
2018-09-11 07:00:00,5.89,5.89,5.77,5.77,6380
2018-09-12 07:00:00,5.86,5.86,5.72,5.74,14470
2018-09-13 07:00:00,5.84,5.86,5.64,5.84,8770
2018-09-14 07:00:00,5.74,5.84,5.69,5.69,16660
2018-09-17 07:00:00,5.72,5.74,5.69,5.74,13080
2018-09-18 07:00:00,5.74,6.09,5.74,5.96,26600
2018-09-19 07:00:00,5.94,5.94,5.77,5.89,26070
2018-09-20 07:00:00,5.89,5.91,5.89,5.91,11960
2018-09-21 07:00:00,5.89,6.14,5.84,5.99,77530
2018-09-24 07:00:00,5.94,5.94,5.84,5.84,32100
2018-09-25 07:00:00,5.84,5.89,5.84,5.84,43440
2018-09-26 07:00:00,5.89,5.99,5.84,5.94,37340
2018-09-27 07:00:00,6.06,6.33,6.01,6.33,198540
2018-09-28 07:00:00,6.6,6.63,6.33,6.33,64100
2018-10-01 07:00:00,6.38,6.58,6.33,6.33,72760
2018-10-02 07:00:00,6.33,6.43,6.23,6.33,78340
2018-10-03 07:00:00,6.31,6.36,6.21,6.36,106820
2018-10-04 07:00:00,6.38,6.43,6.33,6.36,61350
2018-10-05 07:00:00,6.38,6.38,6.33,6.38,36860
2018-10-08 07:00:00,6.43,6.48,6.36,6.43,61030
2018-10-09 07:00:00,6.43,6.45,6.33,6.33,65300
2018-10-10 07:00:00,6.33,6.68,6.33,6.55,164530
2018-10-11 07:00:00,6.43,6.55,6.26,6.38,113180
2018-10-12 07:00:00,6.72,6.72,6.51,6.54,129410
2018-10-15 07:00:00,6.54,6.54,6.17,6.2,82370
2018-10-16 07:00:00,6.2,6.33,6.17,6.2,37090
2018-10-17 07:00:00,6.2,6.33,6.17,6.28,58090
2018-10-18 07:00:00,6.28,6.28,6.12,6.12,45330
2018-10-19 07:00:00,6.12,6.22,6.06,6.12,40010
2018-10-22 07:00:00,6.22,6.22,6.06,6.12,35680
2018-10-23 07:00:00,6.06,6.06,5.7,5.75,150340
2018-10-24 07:00:00,5.75,5.85,5.59,5.59,31920
2018-10-25 07:00:00,5.59,5.59,5.27,5.48,59850
2018-10-26 07:00:00,5.59,5.72,5.54,5.59,43890
2018-10-29 07:00:00,5.59,5.75,5.54,5.67,57870
2018-10-30 07:00:00,5.54,5.67,5.54,5.54,9020
2018-10-31 07:00:00,5.54,5.62,5.48,5.54,32140
2018-11-01 07:00:00,5.56,5.67,5.56,5.56,28450
2018-11-02 07:00:00,5.64,5.93,5.64,5.8,78230
2018-11-05 07:00:00,5.96,5.96,5.72,5.91,3140
2018-11-06 07:00:00,5.96,6.06,5.8,5.96,5650
2018-11-07 07:00:00,5.96,6.06,5.8,5.83,4460
2018-11-08 07:00:00,5.8,5.83,5.67,5.8,23910
2018-11-09 07:00:00,5.8,5.88,5.7,5.88,4900
2018-11-12 07:00:00,5.85,5.88,5.67,5.67,26120
2018-11-13 07:00:00,5.72,5.8,5.46,5.8,10940
2018-11-14 07:00:00,5.8,5.8,5.64,5.64,10100
2018-11-15 07:00:00,5.67,5.7,5.64,5.7,15180
