time,open,high,low,close,volume
2018-01-02 07:00:00,4.11,4.39,4.11,4.39,423530
2018-01-03 07:00:00,4.69,4.69,4.6,4.69,2757740
2018-01-04 07:00:00,4.84,5.01,4.8,5.01,2965730
2018-01-05 07:00:00,5.3,5.36,5.11,5.36,4003030
2018-01-08 07:00:00,5.72,5.73,5.7,5.73,3352780
2018-01-09 07:00:00,6.13,6.13,5.73,6.13,5210990
2018-01-10 07:00:00,6.3,6.39,5.8,6.06,3376180
2018-01-11 07:00:00,6.0,6.09,5.64,5.64,2796160
2018-01-12 07:00:00,5.25,5.55,5.25,5.25,4200450
2018-01-15 07:00:00,5.2,5.61,5.0,5.54,1249300
2018-01-16 07:00:00,5.39,5.65,5.36,5.39,580620
2018-01-17 07:00:00,5.02,5.45,5.02,5.02,1160150
2018-01-18 07:00:00,4.84,5.22,4.84,5.17,1119730
2018-01-19 07:00:00,5.2,5.32,5.0,5.1,1021580
2018-01-22 07:00:00,5.05,5.1,4.88,4.92,1179760
2018-01-25 07:00:00,4.9,4.95,4.6,4.6,1366390
2018-01-26 07:00:00,4.6,4.77,4.6,4.7,1307910
2018-01-29 07:00:00,4.7,5.02,4.7,5.02,362770
2018-01-30 07:00:00,5.37,5.37,5.05,5.25,2119460
2018-01-31 07:00:00,5.3,5.33,4.99,5.03,934270
2018-02-01 07:00:00,5.0,5.17,4.82,4.93,494220
2018-02-02 07:00:00,4.82,5.0,4.7,4.88,931220
2018-02-05 07:00:00,4.86,4.9,4.54,4.54,888820
2018-02-06 07:00:00,4.23,4.8,4.23,4.69,2288510
2018-02-07 07:00:00,4.69,4.99,4.69,4.88,517020
2018-02-08 07:00:00,4.88,4.88,4.7,4.71,218070
2018-02-09 07:00:00,4.6,4.8,4.55,4.7,608380
2018-02-12 07:00:00,4.7,4.98,4.7,4.95,384780
2018-02-13 07:00:00,5.1,5.21,5.0,5.1,900310
2018-02-21 07:00:00,5.3,5.3,5.0,5.1,528860
2018-02-22 07:00:00,5.0,5.13,4.95,4.95,706140
2018-02-23 07:00:00,5.09,5.09,4.95,5.0,486230
2018-02-26 07:00:00,5.0,5.08,4.85,4.9,653440
2018-02-27 07:00:00,4.85,4.92,4.74,4.84,624520
2018-02-28 07:00:00,4.7,4.84,4.68,4.75,878720
2018-03-01 07:00:00,4.75,4.85,4.7,4.8,608060
2018-03-02 07:00:00,4.76,4.8,4.73,4.74,479510
2018-03-05 07:00:00,4.74,4.74,4.63,4.66,763950
2018-03-06 07:00:00,4.65,4.7,4.63,4.67,408800
2018-03-07 07:00:00,4.7,4.99,4.68,4.8,1068620
2018-03-08 07:00:00,4.85,5.07,4.76,5.03,1101950
2018-03-09 07:00:00,5.0,5.05,4.9,4.93,525790
2018-03-12 07:00:00,4.98,4.98,4.81,4.81,389940
2018-03-13 07:00:00,4.88,4.88,4.75,4.8,578720
2018-03-14 07:00:00,4.8,4.83,4.78,4.83,435640
2018-03-15 07:00:00,4.85,4.86,4.79,4.79,403940
2018-03-16 07:00:00,4.79,4.85,4.79,4.83,495050
2018-03-19 07:00:00,4.83,4.85,4.7,4.7,341720
2018-03-20 07:00:00,4.7,4.79,4.7,4.75,412890
2018-03-21 07:00:00,4.76,4.79,4.72,4.75,387280
2018-03-22 07:00:00,4.78,4.79,4.73,4.74,249300
2018-03-23 07:00:00,4.68,4.7,4.63,4.68,537210
2018-03-26 07:00:00,4.74,4.76,4.66,4.69,254740
2018-03-27 07:00:00,4.74,4.75,4.66,4.68,245730
2018-03-28 07:00:00,4.64,4.69,4.6,4.6,321770
2018-03-29 07:00:00,4.69,4.8,4.61,4.7,648410
2018-03-30 07:00:00,4.65,4.7,4.65,4.69,191630
2018-04-02 07:00:00,4.67,4.69,4.62,4.62,297350
2018-04-03 07:00:00,4.62,4.64,4.5,4.52,671540
2018-04-04 07:00:00,4.52,4.55,4.46,4.46,759750
2018-04-05 07:00:00,4.46,4.52,4.38,4.5,502030
2018-04-06 07:00:00,4.5,4.52,4.42,4.44,292900
2018-04-09 07:00:00,4.5,4.59,4.34,4.58,678430
2018-04-10 07:00:00,4.51,4.65,4.51,4.56,568150
2018-04-11 07:00:00,4.5,4.58,4.4,4.42,347000
2018-04-12 07:00:00,4.25,4.45,4.25,4.39,162480
2018-04-13 07:00:00,4.41,4.55,4.35,4.37,261260
2018-04-16 07:00:00,4.3,4.4,4.3,4.32,169920
2018-04-17 07:00:00,4.34,4.38,4.23,4.23,356580
2018-04-18 07:00:00,4.22,4.35,4.21,4.25,293130
2018-04-19 07:00:00,4.29,4.29,3.98,4.13,214760
2018-04-20 07:00:00,4.13,4.18,4.06,4.17,212080
2018-04-23 07:00:00,4.23,4.23,4.06,4.08,187090
2018-04-24 07:00:00,4.05,4.12,4.0,4.06,304060
2018-04-26 07:00:00,4.08,4.2,4.05,4.06,253460
2018-04-27 07:00:00,4.1,4.15,4.06,4.13,238390
2018-05-02 07:00:00,4.18,4.19,4.05,4.09,201770
2018-05-03 07:00:00,4.08,4.08,3.81,3.81,223950
2018-05-04 07:00:00,3.8,3.94,3.58,3.58,280930
2018-05-07 07:00:00,3.75,3.8,3.33,3.34,774370
2018-05-08 07:00:00,3.34,3.57,3.32,3.57,280110
