time,open,high,low,close,volume
2018-01-02 07:00:00,2.62,2.81,2.62,2.81,198400
2018-01-03 07:00:00,3.0,3.09,2.81,3.09,281078
2018-01-04 07:00:00,3.37,3.37,3.18,3.37,376300
2018-01-05 07:00:00,3.65,3.65,3.37,3.65,351500
2018-01-08 07:00:00,3.93,3.93,3.37,3.37,245812
2018-01-09 07:00:00,3.09,3.18,3.09,3.09,109300
2018-01-10 07:00:00,2.81,3.18,2.81,3.18,167100
2018-01-11 07:00:00,3.18,3.18,2.9,2.9,217600
2018-01-12 07:00:00,2.81,3.18,2.81,3.09,127410
2018-01-15 07:00:00,3.09,3.09,2.9,2.9,83900
2018-01-16 07:00:00,2.9,3.09,2.81,3.0,98400
2018-01-17 07:00:00,2.9,3.0,2.81,3.0,123100
2018-01-18 07:00:00,2.9,2.9,2.71,2.9,90600
2018-01-19 07:00:00,2.81,2.9,2.71,2.81,62200
2018-01-22 07:00:00,2.71,2.81,2.71,2.71,39600
2018-01-23 07:00:00,2.71,2.71,2.71,2.71,52900
2018-01-24 07:00:00,2.62,2.71,2.62,2.71,72500
2018-01-25 07:00:00,2.62,2.62,2.62,2.62,22700
2018-01-26 07:00:00,2.62,2.71,2.53,2.62,36800
2018-01-29 07:00:00,2.71,2.71,2.53,2.62,24900
2018-01-30 07:00:00,2.62,2.71,2.62,2.62,55900
2018-01-31 07:00:00,2.62,2.71,2.62,2.71,55200
2018-02-01 07:00:00,2.62,2.9,2.62,2.9,162500
2018-02-02 07:00:00,3.09,3.18,2.9,2.9,88500
2018-02-05 07:00:00,2.71,2.71,2.62,2.62,57500
2018-02-06 07:00:00,2.43,2.53,2.43,2.53,60500
2018-02-07 07:00:00,2.43,2.62,2.43,2.62,162200
2018-02-08 07:00:00,2.53,2.53,2.43,2.43,11500
2018-02-09 07:00:00,2.43,2.43,2.25,2.25,118600
2018-02-12 07:00:00,2.25,2.43,2.25,2.34,152400
2018-02-13 07:00:00,2.25,2.43,2.25,2.43,22400
2018-02-21 07:00:00,2.43,2.43,2.34,2.43,25800
2018-02-22 07:00:00,2.34,2.43,2.34,2.34,52700
2018-02-23 07:00:00,2.34,2.43,2.34,2.34,18700
2018-02-26 07:00:00,2.34,2.43,2.25,2.34,38300
2018-02-27 07:00:00,2.25,2.34,2.25,2.34,30200
2018-02-28 07:00:00,2.34,2.53,2.34,2.53,162900
2018-03-01 07:00:00,2.43,2.71,2.43,2.62,101100
2018-03-02 07:00:00,2.53,2.81,2.43,2.71,41900
2018-03-05 07:00:00,2.62,2.71,2.53,2.62,118300
2018-03-06 07:00:00,2.43,2.71,2.43,2.53,65500
2018-03-07 07:00:00,2.43,2.62,2.43,2.53,39300
2018-03-08 07:00:00,2.53,2.62,2.53,2.62,30900
2018-03-09 07:00:00,2.62,2.81,2.43,2.71,144900
2018-03-12 07:00:00,2.71,2.71,2.53,2.62,64500
2018-03-13 07:00:00,2.53,2.62,2.53,2.62,7800
2018-03-14 07:00:00,2.53,2.53,2.53,2.53,123400
2018-03-15 07:00:00,2.43,2.53,2.43,2.43,30500
2018-03-16 07:00:00,2.43,2.53,2.34,2.53,74500
2018-03-19 07:00:00,2.43,2.53,2.43,2.53,20100
2018-03-20 07:00:00,2.53,2.53,2.43,2.53,16700
2018-03-21 07:00:00,2.43,2.53,2.43,2.43,34600
2018-03-22 07:00:00,2.43,2.53,2.43,2.53,2200
2018-03-23 07:00:00,2.43,2.43,2.34,2.43,20900
2018-03-26 07:00:00,2.43,2.53,2.43,2.53,11600
2018-03-27 07:00:00,2.34,2.43,2.34,2.43,12200
2018-03-28 07:00:00,2.43,2.53,2.34,2.53,80500
2018-03-29 07:00:00,2.43,2.53,2.43,2.53,10000
2018-03-30 07:00:00,2.43,2.53,2.43,2.43,44900
2018-04-02 07:00:00,2.43,2.53,2.34,2.43,73100
2018-04-03 07:00:00,2.34,2.43,2.34,2.34,40800
2018-04-04 07:00:00,2.34,2.43,2.34,2.43,13300
2018-04-05 07:00:00,2.34,2.43,2.34,2.34,16000
2018-04-06 07:00:00,2.43,2.43,2.34,2.43,21500
2018-04-09 07:00:00,2.43,2.43,2.25,2.43,99700
2018-04-10 07:00:00,2.34,2.43,2.34,2.43,32400
2018-04-11 07:00:00,2.34,2.43,2.34,2.43,23800
2018-04-12 07:00:00,2.43,2.43,2.34,2.43,55100
2018-04-13 07:00:00,2.34,2.43,2.34,2.43,2900
2018-04-16 07:00:00,2.34,2.34,2.34,2.34,10100
2018-04-17 07:00:00,2.34,2.43,2.34,2.34,7200
2018-04-18 07:00:00,2.34,2.43,2.34,2.43,43500
2018-04-19 07:00:00,2.43,2.43,2.34,2.34,28900
2018-04-20 07:00:00,2.34,2.34,2.34,2.34,3300
2018-04-23 07:00:00,2.43,2.43,2.34,2.34,30700
2018-04-24 07:00:00,2.34,2.34,2.34,2.34,24100
2018-04-26 07:00:00,2.34,2.43,2.34,2.34,34200
2018-04-27 07:00:00,2.34,2.34,2.25,2.34,10000
2018-05-02 07:00:00,2.34,2.34,2.25,2.25,37300
2018-05-03 07:00:00,2.25,2.25,2.15,2.25,22600
2018-05-04 07:00:00,2.25,2.25,2.25,2.25,12500
2018-05-07 07:00:00,2.25,2.25,2.25,2.25,13200
2018-05-08 07:00:00,2.15,2.25,2.15,2.15,29800
2018-05-09 07:00:00,2.15,2.15,2.15,2.15,11600
