time,open,high,low,close,volume
2018-01-02 07:00:00,4.73,4.73,4.73,4.73,100
2018-01-12 07:00:00,4.73,4.73,4.73,4.73,1800
2018-01-26 07:00:00,4.73,4.73,4.73,4.73,70
2018-05-10 07:00:00,4.57,4.57,4.57,4.57,1500
2018-07-24 07:00:00,4.68,4.68,4.68,4.68,100
2018-07-25 07:00:00,4.68,4.68,4.68,4.68,10
2018-08-22 07:00:00,4.68,4.68,4.68,4.68,6
2018-09-14 07:00:00,4.74,4.74,4.74,4.74,1400
2018-09-17 07:00:00,4.74,4.74,4.74,4.74,300
2018-09-19 07:00:00,4.8,4.8,4.8,4.8,1400
2019-03-06 07:00:00,4.33,4.33,4.33,4.33,100
2019-03-20 07:00:00,3.92,3.92,3.92,3.92,11000
2019-03-21 07:00:00,4.27,4.27,3.57,3.57,28500
2019-03-27 07:00:00,3.28,3.28,3.28,3.28,30100
2019-06-26 07:00:00,3.55,3.55,3.55,3.55,1000
2019-07-09 07:00:00,3.88,3.88,3.88,3.88,100
2019-07-10 07:00:00,4.21,4.21,4.21,4.21,100
2019-07-11 07:00:00,4.62,4.62,4.62,4.62,100
2019-07-12 07:00:00,5.02,5.02,5.02,5.02,100
2019-07-16 07:00:00,5.49,5.49,5.49,5.49,100
2019-07-18 07:00:00,5.49,5.49,5.49,5.49,10
2019-08-19 07:00:00,4.95,4.95,4.95,4.95,1800
2019-08-27 07:00:00,4.95,4.95,4.95,4.95,42
2019-08-29 07:00:00,5.42,5.42,5.42,5.42,100
2019-09-11 07:00:00,5.42,5.42,5.42,5.42,100
2019-09-12 07:00:00,5.42,5.42,5.42,5.42,100
2019-09-13 07:00:00,5.95,5.95,5.95,5.95,100
2019-11-05 07:00:00,6.02,6.02,6.02,6.02,7770
2019-11-21 07:00:00,6.62,6.62,6.62,6.62,100
2019-11-22 07:00:00,6.02,6.02,6.02,6.02,100
2019-12-04 07:00:00,5.42,5.42,5.42,5.42,18200
2019-12-16 07:00:00,5.95,5.95,5.95,5.95,1600
2019-12-26 07:00:00,5.95,5.95,5.95,5.95,5
2020-01-07 07:00:00,5.42,5.42,5.42,5.42,100
2020-04-13 07:00:00,4.88,5.95,4.88,5.95,12300
2020-04-14 07:00:00,5.42,5.42,5.42,5.42,1000
2020-04-16 07:00:00,4.88,4.88,4.88,4.88,10000
2020-04-17 07:00:00,4.42,5.35,4.42,4.42,11500
2020-04-20 07:00:00,4.01,4.08,4.01,4.08,500
2020-04-21 07:00:00,3.81,3.81,3.81,3.81,100
2020-04-22 07:00:00,4.15,4.15,3.81,3.81,200
2020-04-24 07:00:00,4.15,4.15,3.55,3.55,200
